scheme,scheme_kind,threshold_minutes,prs,post_burst_action_prs,user_account_prs,mapped_product_prs,other_bot_prs,branch_movement_untyped_prs,no_action_within_7d_prs,user_share_all_prs,mapped_share_all_prs,user_share_post_burst_actions,mapped_share_post_burst_actions,user_minus_mapped_percentage_points_all_prs,user_minus_mapped_ci_low_pp_all_prs,user_minus_mapped_ci_high_pp_all_prs,user_minus_mapped_percentage_points_actions,user_minus_mapped_ci_low_pp_actions,user_minus_mapped_ci_high_pp_actions,user_exceeds_mapped,user_exceeds_mapped_interval_excludes_zero,modal_post_burst_action_state,user_is_modal_action_state,repositories
fixed_0_minutes,fixed,0,8608,5553,2381,1305,1359,508,3055,0.27660315985130113,0.15160315985130113,0.42877723752926344,0.23500810372771475,12.5,7.57954171647587,18.30053036816742,19.37691338015487,12.089043037963929,27.602181440674954,True,True,user_account,True,1416
fixed_1_minutes,fixed,1,8608,5339,2428,1198,1161,552,3269,0.2820631970260223,0.1391728624535316,0.4547668102640944,0.22438658924892302,14.28903345724907,9.580063866499836,19.907776341656934,23.03802210151714,15.912645256302593,31.038685392434445,True,True,user_account,True,1416
fixed_5_minutes,fixed,5,8608,4771,2526,924,761,560,3837,0.2934479553903346,0.10734200743494424,0.5294487528819954,0.1936700901278558,18.610594795539033,14.323702276457054,23.75699234506895,33.57786627541396,26.793579377267378,41.09341501857283,True,True,user_account,True,1416
fixed_10_minutes,fixed,10,8608,4403,2413,827,609,554,4205,0.28032063197026025,0.09607342007434944,0.5480354303883715,0.18782648194412901,18.42472118959108,14.241222970325538,23.09134399582512,36.020894844424255,28.93796612165374,43.42037224935591,True,True,user_account,True,1416
fixed_30_minutes,fixed,30,8608,3678,2165,653,377,483,4930,0.25151022304832715,0.0758596654275093,0.5886351277868407,0.177542142468733,17.565055762081787,14.115437608062559,21.60690310831418,41.109298531810765,34.48521878999593,47.92585146045166,True,True,user_account,True,1416
global_log_hazard_change_point,global_data_driven,0.9,8608,5357,2425,1206,1181,545,3251,0.2817146840148699,0.14010223048327136,0.4526787380996827,0.22512600336008962,14.16124535315985,9.349322705321496,19.73204832145022,22.755273473959306,15.360337302792798,30.85435893898079,True,True,user_account,True,1416
global_log_hazard_change_point_burst_region,global_data_driven,0.9,8608,5357,2425,1206,1181,545,3251,0.2817146840148699,0.14010223048327136,0.4526787380996827,0.22512600336008962,14.16124535315985,9.386338516149088,19.897908177494,22.755273473959306,15.412008592732649,30.796760417472633,True,True,user_account,True,1416
product_specific_log_hazard_change_point,product_specific,Claude_Code=458.3; Copilot=1.591; Cursor=85.45; Devin=85.73; Google_Jules=0.9; OpenAI_Codex=1.91,8608,4265,2160,901,770,434,4343,0.25092936802973975,0.10467007434944238,0.5064478311840562,0.2112543962485346,14.62592936802974,10.951642674764292,18.54267487841275,29.51934349355217,22.570368823451815,36.7348092608754,True,True,user_account,True,1416
product_specific_log_hazard_change_point_burst_region,product_specific,Claude_Code=8.605; Copilot=1.591; Cursor=4.099; Devin=3.397; Google_Jules=0.9; OpenAI_Codex=0.6121,8608,5205,2397,1152,1098,558,3403,0.2784618959107807,0.13382899628252787,0.4605187319884726,0.2213256484149856,14.463289962825279,9.776629316308503,19.672415772838814,23.919308357348704,16.61281862303957,31.737665810060083,True,True,user_account,True,1416
