bin_index,bin_left_log10_minutes,bin_right_log10_minutes,bin_left_minutes,bin_right_minutes,bin_centre_minutes,count,share,cumulative_share,density_per_minute,kde_density_per_log10_minute
0,-1.7781512503836436,-1.7531530823578714,0.016666666666666666,0.01765415428269277,0.017153305941174906,42,0.007563479200432199,0.007563479200432199,7.659315496906709,0.020670583056146552
1,-1.7531530823578714,-1.728154914332099,0.01765415428269277,0.018700149806227178,0.018169626572623936,0,0.0,0.007563479200432199,0.0,0.021348673680703704
2,-1.728154914332099,-1.7031567463063266,0.018700149806227178,0.01980811978731611,0.019246163446321032,0,0.0,0.007563479200432199,0.0,0.02189342230846783
3,-1.7031567463063266,-1.6781585782805541,0.01980811978731611,0.0209817361665203,0.02038648432987642,0,0.0,0.007563479200432199,0.0,0.02233905394029468
4,-1.6781585782805541,-1.6531604102547819,0.0209817361665203,0.022224888444150246,0.021594368378480222,0,0.0,0.007563479200432199,0.0,0.022734871743572162
5,-1.6531604102547819,-1.6281622422290094,0.022224888444150246,0.023541696570519858,0.022873818659459515,0,0.0,0.007563479200432199,0.0,0.02313396476268081
6,-1.6281622422290094,-1.6031640742032371,0.023541696570519858,0.02493652459993781,0.024229075418906097,0,0.0,0.007563479200432199,0.0,0.023579031614923147
7,-1.6031640742032371,-1.5781659061774647,0.02493652459993781,0.026413995153687954,0.025664630134342045,0,0.0,0.007563479200432199,0.0,0.024113826241562393
8,-1.5781659061774647,-1.5531677381516924,0.026413995153687954,0.027979004739930376,0.027185240399995245,0,0.0,0.007563479200432199,0.0,0.024771721395345527
9,-1.5531677381516924,-1.52816957012592,0.027979004739930376,0.0296367399812954,0.02879594569401651,0,0.0,0.007563479200432199,0.0,0.025572140951008585
10,-1.52816957012592,-1.5031714021001477,0.0296367399812954,0.031392694803950294,0.0305020840798926,0,0.0,0.007563479200432199,0.0,0.02652776796369032
11,-1.5031714021001477,-1.4781732340743754,0.031392694803950294,0.03325268864510557,0.03230930989740547,0,0.0,0.007563479200432199,0.0,0.027640751646684628
12,-1.4781732340743754,-1.453175066048603,0.03325268864510557,0.0352228857393024,0.03422361250176772,31,0.0055825679812713845,0.013146047181703584,2.833507367214533,0.028901379839872128
13,-1.453175066048603,-1.4281768980228307,0.0352228857393024,0.03730981554739821,0.036251336113038025,0,0.0,0.013146047181703584,0.0,0.030301790531430013
14,-1.4281768980228307,-1.4031787299970582,0.03730981554739821,0.039520394395954665,0.038399200841599535,0,0.0,0.013146047181703584,0.0,0.03182454958674297
15,-1.4031787299970582,-1.378180561971286,0.039520394395954665,0.04186194839874302,0.04067432495938227,0,0.0,0.013146047181703584,0.0,0.03345473320800161
16,-1.378180561971286,-1.3531823939455134,0.04186194839874302,0.044342237736331995,0.04308424849063896,0,0.0,0.013146047181703584,0.0,0.035177429655929904
17,-1.3531823939455134,-1.3281842259197412,0.044342237736331995,0.046969482374222785,0.045636958200456795,0,0.0,0.013146047181703584,0.0,0.036974154878220956
18,-1.3281842259197412,-1.303186057893969,0.046969482374222785,0.04975238930476486,0.04834091406381994,0,0.0,0.013146047181703584,0.0,0.03882920893655388
19,-1.303186057893969,-1.2781878898681964,0.04975238930476486,0.052700181403134774,0.05120507730294419,30,0.005402485143165856,0.01854853232486944,1.8327225811322827,0.04072751529744488
20,-1.2781878898681964,-1.253189721842424,0.052700181403134774,0.055822627993010285,0.054238940085803225,0,0.0,0.01854853232486944,0.0,0.04265202434898402
21,-1.253189721842424,-1.2281915538166517,0.055822627993010285,0.05913007722323807,0.057452556984269966,0,0.0,0.01854853232486944,0.0,0.04458534661755531
22,-1.2281915538166517,-1.2031933857908794,0.05913007722323807,0.06263349036279495,0.06085657829613003,0,0.0,0.01854853232486944,0.0,0.04650912151297002
23,-1.2031933857908794,-1.178195217765107,0.06263349036279495,0.0663444781277,0.06446228534139911,0,0.0,0.01854853232486944,0.0,0.04840411314478636
24,-1.178195217765107,-1.1531970497393345,0.0663444781277,0.07027533916026914,0.0682816278499215,30,0.005402485143165856,0.023951017468035296,1.3743770381103744,0.050252085103663066
25,-1.1531970497393345,-1.1281988817135622,0.07027533916026914,0.07443910078823714,0.07232726356415553,0,0.0,0.023951017468035296,0.0,0.0520377304119491
26,-1.1281988817135622,-1.10320071368779,0.07443910078823714,0.07884956219882733,0.07661260018839515,0,0.0,0.023951017468035296,0.0,0.053744463554779257
27,-1.10320071368779,-1.0782025456620175,0.07884956219882733,0.08352134017085268,0.0811518398234511,29,0.005222402305060328,0.029173419773095625,1.1178618368278888,0.05537013777280141
