scope,group,rule,gaps,repositories,cut_exists,cut_minutes,kde_modes,kde_mode_minutes,bootstrap_median_cut_minutes,bootstrap_ci_low_minutes,bootstrap_ci_high_minutes,share_of_replicates_with_a_cut,bootstrap_draws
global,all,log_gap_kde_antimode,5553,1090,False,,2.0,4.25; 981.3,0.025565927182236235,0.022161740847299577,9.277274484381755,0.168,1000.0
global,all,log_hazard_change_point,5553,1090,True,0.8999570714587064,,,0.8999570714587064,0.8960802904238561,1.3158600530013003,1.0,1000.0
global,all,log_hazard_change_point_burst_region,5553,1090,True,0.8999570714587064,,,0.8999570714587064,0.6140928702152466,0.8999570714587064,1.0,1000.0
product,Claude_Code,log_gap_kde_antimode,959,294,False,,2.0,14.8; 700.6,0.20293833707450645,0.10469613605221792,7.7588513901051686,0.326,1000.0
product,Claude_Code,log_hazard_change_point,959,294,True,458.2787708899861,,,177.86283219988167,7.368073705845134,808.642310822981,1.0,1000.0
product,Claude_Code,log_hazard_change_point_burst_region,959,294,True,8.604837792340097,,,7.584020645670497,0.8876378264366965,10.398042667346898,1.0,1000.0
product,Copilot,log_gap_kde_antimode,596,195,False,,2.0,2.769; 595.2,0.03348006542683697,0.025336524402537038,28.13889696295075,0.18,1000.0
product,Copilot,log_hazard_change_point,596,195,True,1.5911226470382949,,,1.662120877738372,0.7587921749308814,474.8126618741499,1.0,1000.0
product,Copilot,log_hazard_change_point_burst_region,596,195,True,1.5911226470382949,,,1.3720776624426807,0.744265416593022,2.9137623485642083,1.0,1000.0
product,Cursor,log_gap_kde_antimode,533,152,False,,2.0,5.965; 1453,3.229032376452895,0.040422254706595,7.374374364853756,0.069,1000.0
product,Cursor,log_hazard_change_point,533,152,True,85.4493343148413,,,103.31182076510507,0.8960802904238561,1473.4271285949737,1.0,1000.0
product,Cursor,log_hazard_change_point_burst_region,533,152,True,4.098711722210688,,,3.3900495182215917,0.42009875202682256,18.656137127070448,1.0,1000.0
product,Devin,log_gap_kde_antimode,532,50,False,,2.0,6.799; 756.7,0.10974673895712295,0.028656732447269843,9.493769258700226,0.542,1000.0
product,Devin,log_hazard_change_point,532,50,True,85.7291120428784,,,12.83510810238854,1.589270626714948,151.54686749633532,0.979,1000.0
product,Devin,log_hazard_change_point_burst_region,532,50,True,3.396951721439799,,,4.254844549249308,0.899040421455072,13.39340274409117,0.983,1000.0
product,Google_Jules,insufficient_events,128,29,False,,,,,,,,
product,OpenAI_Codex,log_gap_kde_antimode,2805,616,False,,2.0,5; 992.6,0.02685317616658242,0.023452401246407902,11.547802953331015,0.096,1000.0
product,OpenAI_Codex,log_hazard_change_point,2805,616,True,1.909825734525146,,,1.575445711517181,0.6120669693779474,2.78701449438571,1.0,1000.0
product,OpenAI_Codex,log_hazard_change_point_burst_region,2805,616,True,0.6120669693779474,,,0.7398858859119088,0.3464986478161363,1.3069595357149046,1.0,1000.0
