repo_id,collision_loci,share
390985926,9,0.05389221556886228
307176956,8,0.04790419161676647
1127756424,6,0.03592814371257485
314605433,5,0.029940119760479042
439439857,4,0.023952095808383235
476642602,4,0.023952095808383235
943901988,4,0.023952095808383235
958804967,4,0.023952095808383235
1103012935,4,0.023952095808383235
130367302,3,0.017964071856287425
183895098,3,0.017964071856287425
291390714,3,0.017964071856287425
440778041,3,0.017964071856287425
595662105,3,0.017964071856287425
1138200460,3,0.017964071856287425
1156994049,3,0.017964071856287425
41117523,2,0.011976047904191617
118905883,2,0.011976047904191617
249027166,2,0.011976047904191617
306976345,2,0.011976047904191617
693187866,2,0.011976047904191617
701750420,2,0.011976047904191617
770541894,2,0.011976047904191617
1009089036,2,0.011976047904191617
1030558707,2,0.011976047904191617
1072554688,2,0.011976047904191617
1102890152,2,0.011976047904191617
1132484374,2,0.011976047904191617
1154162014,2,0.011976047904191617
1157705791,2,0.011976047904191617
1158845111,2,0.011976047904191617
1179558010,2,0.011976047904191617
474026,1,0.005988023952095809
1549317,1,0.005988023952095809
1660282,1,0.005988023952095809
3559019,1,0.005988023952095809
4600110,1,0.005988023952095809
6673802,1,0.005988023952095809
12888993,1,0.005988023952095809
15231212,1,0.005988023952095809
23267883,1,0.005988023952095809
42009758,1,0.005988023952095809
49122742,1,0.005988023952095809
62668744,1,0.005988023952095809
85431399,1,0.005988023952095809
100462289,1,0.005988023952095809
114006193,1,0.005988023952095809
115110181,1,0.005988023952095809
139199684,1,0.005988023952095809
151148482,1,0.005988023952095809
192571993,1,0.005988023952095809
224208127,1,0.005988023952095809
235901813,1,0.005988023952095809
249995750,1,0.005988023952095809
278914823,1,0.005988023952095809
307265454,1,0.005988023952095809
363690519,1,0.005988023952095809
398657927,1,0.005988023952095809
430749584,1,0.005988023952095809
442321089,1,0.005988023952095809
443883473,1,0.005988023952095809
481196344,1,0.005988023952095809
518698474,1,0.005988023952095809
525594612,1,0.005988023952095809
575865240,1,0.005988023952095809
610300171,1,0.005988023952095809
614765452,1,0.005988023952095809
633927609,1,0.005988023952095809
651622038,1,0.005988023952095809
719367294,1,0.005988023952095809
771518385,1,0.005988023952095809
814403270,1,0.005988023952095809
832552991,1,0.005988023952095809
851610840,1,0.005988023952095809
911664220,1,0.005988023952095809
916963447,1,0.005988023952095809
920603619,1,0.005988023952095809
929338255,1,0.005988023952095809
929361554,1,0.005988023952095809
933720213,1,0.005988023952095809
981108483,1,0.005988023952095809
1006258471,1,0.005988023952095809
1013416985,1,0.005988023952095809
1024661423,1,0.005988023952095809
1038494975,1,0.005988023952095809
1045340059,1,0.005988023952095809
1051990253,1,0.005988023952095809
1055738080,1,0.005988023952095809
1056618941,1,0.005988023952095809
1069120197,1,0.005988023952095809
1090660826,1,0.005988023952095809
1094226297,1,0.005988023952095809
1134426800,1,0.005988023952095809
1146336156,1,0.005988023952095809
1146928510,1,0.005988023952095809
1147229870,1,0.005988023952095809
1148615527,1,0.005988023952095809
1182308005,1,0.005988023952095809
