days_since_trigger,merged_no_edge,merged_no_edge_low,merged_no_edge_high,merged_with_edge,merged_with_edge_low,merged_with_edge_high,merged_no_reply,merged_no_reply_low,merged_no_reply_high,merged_reply_off_target,merged_reply_off_target_low,merged_reply_off_target_high,merged_reply_on_target,merged_reply_on_target_low,merged_reply_on_target_high
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.43578680203045683,0.3724291915258566,0.49592943386545507,0.0,0.0,0.0,0.43578680203045683,0.3724291915258566,0.49592943386545507,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.48771763237957555,0.42397262103288974,0.5477592961529263,0.17801047120418845,0.1169517543859649,0.24742758959253802,0.4840461398590802,0.419304815208728,0.5440311031054706,0.19999999999999996,0.1333333333333333,0.27028434684684677,0.17801047120418845,0.1169517543859649,0.24742758959253802
0.375,0.5149267691213197,0.45279952058741924,0.5737231610778987,0.23672400897531787,0.17231721371812633,0.3087599544767833,0.5101619095482377,0.448923195835471,0.5690735561622456,0.27422680412371125,0.18567468173616677,0.35484188381191406,0.23672400897531787,0.17231721371812633,0.3087599544767833
0.5,0.5358241798510801,0.4740206548306705,0.5939511648167193,0.3035106581899776,0.22762650318352773,0.38335276387840583,0.5309264151198552,0.4695676845664929,0.5883008015495277,0.3132468684181353,0.22472638011127066,0.3924788244281328,0.3035106581899776,0.22762650318352773,0.38335276387840583
0.625,0.5575924252097881,0.4978373470478527,0.6140471946796762,0.3406567564198455,0.25696289856195126,0.428248989273724,0.5527035970265973,0.4926449327757212,0.6086711596477804,0.3501690797935043,0.26668179942221026,0.4305279185181532,0.3406567564198455,0.25696289856195126,0.428248989273724
0.75,0.5757691120683734,0.514117882337552,0.6327036548414205,0.4074820851610773,0.3188349923872013,0.49122722988114503,0.5699887103907115,0.5092498147872225,0.6258787340002077,0.3980513581245093,0.3006584031097138,0.4869904814289162,0.4074820851610773,0.3188349923872013,0.49122722988114503
0.875,0.5932938486703815,0.533525017957168,0.6495928433007038,0.4498047933638575,0.36303959054347523,0.5315534938442594,0.5880109773483514,0.5289212663531054,0.6441783084649632,0.41811631285369233,0.31965516474976924,0.5056077883939893,0.4498047933638575,0.36303959054347523,0.5315534938442594
1.0,0.6120391527645861,0.552407765739771,0.6662990449047902,0.5035832722079918,0.40551082627080787,0.5906162236966795,0.6035020596682881,0.5442880669744098,0.657909092875128,0.5012425538745934,0.3916556049592161,0.6020258073676644,0.5035832722079918,0.40551082627080787,0.5906162236966795
1.125,0.6253114975384292,0.5675312250299427,0.678043330392496,0.5276034364559921,0.4321619722427464,0.6105369100931016,0.6163778285042749,0.5593410215892787,0.6695928375908263,0.5280574703329486,0.41627865377373097,0.6301144813990086,0.5276034364559921,0.4321619722427464,0.6105369100931016
1.25,0.6284137942469427,0.5713295228420726,0.6810626240376643,0.53534764241573,0.43684652599553453,0.6221849898498555,0.6182902022405447,0.5618778942248784,0.670510583945487,0.5505309241266176,0.43695214182573666,0.6515620940341396,0.53534764241573,0.43684652599553453,0.6221849898498555
1.375,0.6339702234918482,0.5774519782557397,0.6852598394516116,0.5468679488021169,0.4498699846611668,0.633953961411165,0.6233126995794849,0.5674783294180226,0.6751362858802883,0.5669749147073513,0.45968229744092814,0.664742345872986,0.5468679488021169,0.4498699846611668,0.633953961411165
1.5,0.6360598321113048,0.5796412188215656,0.6874629591723885,0.5583882551885038,0.4627546061300797,0.6427306875788444,0.6248660492719407,0.5691265065995172,0.6767874346273034,0.5776668921219845,0.46871768958410304,0.6724336853040105,0.5583882551885038,0.4627546061300797,0.6427306875788444
1.625,0.6392184256609657,0.5833752588191197,0.6914588623576187,0.5583882551885038,0.4627546061300797,0.6427306875788444,0.6284013430484354,0.5731491921952325,0.6803624772465471,0.5776668921219845,0.46871768958410304,0.6724336853040105,0.5583882551885038,0.4627546061300797,0.6427306875788444
1.75,0.6452079635162035,0.5895864171656845,0.6970263181435278,0.5736162463889001,0.4801757139280186,0.6583852949254096,0.6335241241092735,0.5777979201764928,0.684660655100686,0.5985228480665779,0.4879208366789801,0.6955598328005611,0.5736162463889001,0.4801757139280186,0.6583852949254096
1.875,0.6498202599904928,0.5941213651747703,0.7015878941001849,0.5736162463889001,0.4801757139280186,0.6583852949254096,0.6382990540883058,0.5829146079942398,0.6889828799377605,0.6036048373315579,0.4895617275008365,0.7062093874597963,0.5736162463889001,0.4801757139280186,0.6583852949254096
2.0,0.6555433200927931,0.6012129733623383,0.7071663130248627,0.5887094766052223,0.49572398617274793,0.6699201671820184,0.6431057111768334,0.5886998391826957,0.6935099535744066,0.6244677406298969,0.5167140428093704,0.7212982064743738,0.5887094766052223,0.49572398617274793,0.6699201671820184
2.5,0.6674087380854214,0.6140768321663136,0.7184075502569981,0.6075760143756249,0.5157940644572573,0.6892636921969425,0.6536144897831779,0.599859353176132,0.7042331372076331,0.6595174181711065,0.5540041485990851,0.7506739601017638,0.6075760143756249,0.5157940644572573,0.6892636921969425
3.0,0.6827254409367507,0.6301710439933953,0.7328205557822691,0.6589212087563843,0.5775147676417318,0.7331345315760014,0.6672063112304493,0.6137171965108742,0.7159780383212592,0.70267718206491,0.6015477859647943,0.7902579893340479,0.6589212087563843,0.5775147676417318,0.7331345315760014
3.5,0.6901732005391743,0.6385733539894402,0.7397891603611711,0.684593805946764,0.6033245681752071,0.7577176123195938,0.6747985626852679,0.6222104503661249,0.7233859464566416,0.712116001681897,0.61214780563817,0.7966386826882386,0.684593805946764,0.6033245681752071,0.7577176123195938
4.0,0.7003748146677625,0.6482422043747662,0.7495667140630602,0.7135966743654523,0.6353115967448477,0.7796862901450367,0.6846791875970761,0.6328034981004669,0.7329557480138809,0.7303943507814591,0.6322231352281881,0.8134070141878276,0.7135966743654523,0.6353115967448477,0.7796862901450367
4.5,0.7061815043059843,0.6560231130676102,0.7551593688354239,0.717047316842977,0.6397387146522074,0.7827520227673207,0.6904445470362295,0.6397997727602437,0.7391052753564156,0.7389532602804604,0.6416280553144937,0.8197741799914811,0.717047316842977,0.6397387146522074,0.7827520227673207
5.0,0.7128860874292033,0.6622565073372784,0.7616986606912597,0.727399244275551,0.6503644206472536,0.7940480977173832,0.6967897539783858,0.6452796740918987,0.7445734002710653,0.7515845541378574,0.6588391600813271,0.8301035115728553,0.727399244275551,0.6503644206472536,0.7940480977173832
5.5,0.7192752704627676,0.6685439152456444,0.766319373735702,0.7374955685616418,0.6618003953639124,0.8028488299647151,0.7018663334399349,0.6504775723821911,0.7485058380683062,0.7716180578364173,0.6819636514169846,0.8467289155856674,0.7374955685616418,0.6618003953639124,0.8028488299647151
6.0,0.724496188179483,0.674580204449222,0.7705424014812107,0.7374955685616418,0.6618003953639124,0.8028488299647151,0.7055871904328842,0.654525599521809,0.7518841250567352,0.7913061562987951,0.7120428342952189,0.8586003359142499,0.7374955685616418,0.6618003953639124,0.8028488299647151
6.5,0.730969111805222,0.6813695158397813,0.7769176251346989,0.747723013942357,0.674204949791966,0.8098215728359935,0.7103129177132552,0.6592169347206082,0.7566736622259127,0.8128951746127129,0.7297853394937484,0.8792952132847914,0.747723013942357,0.674204949791966,0.8098215728359935
