check,detail,estimate,ci_low,ci_high,n_prs
Primary,pre-trigger adjusted,0.40726512772820267,0.2235583707942065,0.5909718846621989,1067
Repository fixed effects,within-repository comparison only,0.08740016429231144,-0.16756490519680112,0.342365233781424,1067
Leave one ordered product pair out,21 refits,0.4073594237148248,0.37149736066771155,0.4276746000418775,1067
Leave one exposed repository out,76 refits,0.40412241745388655,0.3807530903174748,0.4325666206139793,1067
