days_since_trigger,merged_no_edge,merged_no_edge_low,merged_no_edge_high,merged_with_edge,merged_with_edge_low,merged_with_edge_high,merged_no_reply,merged_no_reply_low,merged_no_reply_high,merged_reply_off_target,merged_reply_off_target_low,merged_reply_off_target_high,merged_reply_on_target,merged_reply_on_target_low,merged_reply_on_target_high
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.43578680203045683,0.3714379872019889,0.4975261022618396,0.0,0.0,0.0,0.43578680203045683,0.3714379872019889,0.4975261022618396,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.48771763237957555,0.4248890704148534,0.547511250554244,0.17801047120418845,0.11901260504201683,0.2369675095197655,0.4840461398590802,0.419304815208728,0.5428544458807729,0.19999999999999996,0.12870605867926244,0.26853632478632483,0.17801047120418845,0.11901260504201683,0.2369675095197655
0.375,0.5149267691213197,0.45513648623504777,0.5724968695972024,0.23672400897531787,0.17013925555249815,0.3054332110877378,0.5101619095482377,0.45005467127045096,0.569074910818926,0.27422680412371125,0.1833173076923077,0.3487314289832235,0.23672400897531787,0.17013925555249815,0.3054332110877378
0.5,0.5358241798510801,0.4757594588338404,0.5925418551596368,0.3035106581899776,0.22441692760454968,0.38313635257943723,0.5309264151198552,0.46993827729467796,0.5879281171027353,0.3132468684181353,0.22141658883641782,0.390997444511998,0.3035106581899776,0.22441692760454968,0.38313635257943723
0.625,0.5575924252097881,0.499410998942137,0.6122249047187791,0.3406567564198455,0.25690522207676214,0.4311204620532162,0.5527035970265973,0.4957341996491492,0.6071695009651847,0.3501690797935043,0.26482254511996073,0.43160697378977364,0.3406567564198455,0.25690522207676214,0.4311204620532162
0.75,0.5757691120683734,0.5179955592704685,0.6319400789067351,0.4074820851610773,0.31107087415103063,0.492264697118905,0.5699887103907115,0.5112214677038684,0.6251576132604589,0.3980513581245093,0.30065658558707203,0.48339644667223125,0.4074820851610773,0.31107087415103063,0.492264697118905
0.875,0.5932938486703815,0.5358748277787478,0.6487604022243307,0.4498047933638575,0.3594515810765797,0.5340888883313128,0.5880109773483514,0.530837811406897,0.6431470768740363,0.41811631285369233,0.31789501249786084,0.5035361247582025,0.4498047933638575,0.3594515810765797,0.5340888883313128
1.0,0.6120391527645861,0.5531515382683134,0.6660264262947049,0.5035832722079918,0.39946109746342073,0.5938344138865221,0.6035020596682881,0.5467764647462802,0.65724288238879,0.5012425538745934,0.3881074658480575,0.5994132183702825,0.5035832722079918,0.39946109746342073,0.5938344138865221
1.125,0.6253114975384292,0.5694826416042783,0.6778715505531208,0.5276034364559921,0.4299312283344122,0.6136029176449623,0.6163778285042749,0.5605225370713122,0.6673076856258945,0.5280574703329486,0.4108087292398797,0.6235095006902732,0.5276034364559921,0.4299312283344122,0.6136029176449623
1.25,0.6284137942469427,0.5736953090684005,0.6791554494371098,0.53534764241573,0.43234272630049847,0.6215652634915543,0.6182902022405447,0.5618554168499436,0.6691050535080613,0.5505309241266176,0.42181169634484195,0.6507451494549216,0.53534764241573,0.43234272630049847,0.6215652634915543
1.375,0.6339702234918482,0.5791900134880557,0.684816981663371,0.5468679488021169,0.43974067212093926,0.63742865489327,0.6233126995794849,0.567115834835215,0.6728897055175737,0.5669749147073513,0.45152401168882855,0.6582016179365096,0.5468679488021169,0.43974067212093926,0.63742865489327
1.5,0.6360598321113048,0.5812651540143866,0.6860906019125935,0.5583882551885038,0.45955378752636417,0.6453876091518046,0.6248660492719407,0.5680916336178226,0.674706088285812,0.5776668921219845,0.46438773987435555,0.6706331562925888,0.5583882551885038,0.45955378752636417,0.6453876091518046
