bootstrap_draws,arm,mean_band_width_pp,day_30_band_width_pp,mean_width_change_vs_reference_pp,day_30_width_change_vs_reference_pp
400,no_edge,9.220051426563964,8.49638697838907,0.051400493637343087,0.4939158082641786
400,with_edge,13.05895079143704,11.083148673388921,-0.16048140720040346,-0.5097339961450444
400,no_reply,9.291836827201251,8.586906169883102,-0.08172779398288571,0.16947571076827472
400,reply_off_target,14.195733107625314,10.754694497019202,0.4701238716594253,0.2919311787508043
400,reply_on_target,13.05895079143704,11.083148673388921,-0.16048140720040346,-0.5097339961450444
1000,no_edge,9.179401822508412,8.108334422118501,0.010750889581791972,0.10586325199360935
1000,with_edge,13.306749673602251,11.303818549475242,0.08731747496480702,-0.2890641200587236
1000,no_reply,9.374755717161804,8.434892497477243,0.0011910959776673569,0.017462038362415555
1000,reply_off_target,13.739280086173832,10.45719921712982,0.013670850207945411,-0.005564101138578081
1000,reply_on_target,13.306749673602251,11.303818549475242,0.08731747496480702,-0.2890641200587236
2000,no_edge,9.16865093292662,8.002471170124892,0.0,0.0
2000,with_edge,13.219432198637447,11.592882669533966,0.0,0.0
2000,no_reply,9.373564621184137,8.417430459114827,0.0,0.0
2000,reply_off_target,13.725609235965885,10.462763318268397,0.0,0.0
2000,reply_on_target,13.219432198637447,11.592882669533966,0.0,0.0
4000,no_edge,9.111008302784645,8.090370324833994,-0.05764263014197664,0.08789915470910259
4000,with_edge,13.233937605616838,11.71546313639633,0.014505406979395024,0.1225804668623649
4000,no_reply,9.368834866798657,8.54696757523662,-0.004729754385481034,0.1295371161217922
4000,reply_off_target,13.736782110826788,10.49092223113629,0.011172874860900886,0.028158912867892738
4000,reply_on_target,13.233937605616838,11.71546313639633,0.014505406979395024,0.1225804668623649
