term,estimate,ci_low,ci_high,p_value,n_prs,repositories,exposed_prs,unexposed_prs,later_merges,exposed_raw_later_merge_rate,unexposed_raw_later_merge_rate,formula,landmark_hours,horizon_days,is_primary
exact_parent_reply_by_48h,0.11246343336669505,0.025035988761785616,0.19989087797160449,0.011694697082882824,1294,556,155,1139,420,0.43870967741935485,0.3090430201931519,later_merge ~ exact_parent_reply_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,48,14,False
exact_parent_reply_by_48h,0.1734652360493298,0.07255437972242937,0.2743760923762303,0.000753954938839768,1067,469,109,958,423,0.5504587155963303,0.37891440501043844,later_merge ~ exact_parent_reply_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,48,30,True
exact_parent_reply_by_48h,0.13036064491409163,-0.02179262202563692,0.2825139118538202,0.09310487325138038,693,352,46,647,290,0.5652173913043478,0.4080370942812983,later_merge ~ exact_parent_reply_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,48,60,False
