bootstrap_draws,arm,band_edge,reference_draws,max_abs_shift_pp,mean_abs_shift_pp,day_30_shift_pp,day_30_value_pp
400,no_edge,low,2000,0.6327908204372346,0.3703672136028993,-0.4762021221770607,75.54999814877371
400,no_edge,high,2000,0.623728381185773,0.25440931346492046,0.01771368608711743,84.04638512716278
400,with_edge,low,2000,1.0129312540227586,0.3653433957957323,0.4133114530276871,78.50701467990126
400,with_edge,high,2000,1.0460080072772493,0.15964442421442884,-0.0964225431173582,89.59016335329018
400,no_reply,low,2000,0.4824017337442754,0.18755601986168213,-0.15125890057705593,73.7360675377138
400,no_reply,high,2000,0.6121049502690323,0.24597214738455433,0.018216810191218347,82.32297370759689
400,reply_off_target,low,2000,1.7023090531125162,0.6059301074599482,-0.33705788731460684,83.15674984182924
400,reply_off_target,high,2000,0.6604980708735386,0.2013413387334692,-0.045126708563802964,93.91144433884844
400,reply_on_target,low,2000,1.0129312540227586,0.3653433957957323,0.4133114530276871,78.50701467990126
400,reply_on_target,high,2000,1.0460080072772493,0.15964442421442884,-0.0964225431173582,89.59016335329018
1000,no_edge,low,2000,0.40069208331601214,0.17660867241420486,-0.11596226333029369,75.91023800762048
1000,no_edge,high,2000,0.3433686655839485,0.08917168952720275,-0.010099011336683894,84.01857242973898
1000,with_edge,low,2000,0.4674366731073354,0.264308208340933,0.4133114530276871,78.50701467990126
1000,with_edge,high,2000,0.6595776001191822,0.2453095191709857,0.12424733296896306,89.8108332293765
1000,no_reply,low,2000,0.42601252791260036,0.14630253189877296,-0.000607260161789025,73.88671917812906
1000,no_reply,high,2000,0.3433686655839485,0.0893083832389011,0.016854778200625642,82.3216116756063
1000,reply_off_target,low,2000,0.6927841731767526,0.20772462314752665,-0.08823534939980116,83.40557237974404
1000,reply_off_target,high,2000,0.6184990345741992,0.13415433863383697,-0.09379945053837879,93.86277159687386
1000,reply_on_target,low,2000,0.4674366731073354,0.264308208340933,0.4133114530276871,78.50701467990126
1000,reply_on_target,high,2000,0.6595776001191822,0.2453095191709857,0.12424733296896306,89.8108332293765
2000,no_edge,low,2000,0.0,0.0,0.0,76.02620027095077
2000,no_edge,high,2000,0.0,0.0,0.0,84.02867144107566
2000,with_edge,low,2000,0.0,0.0,0.0,78.09370322687357
2000,with_edge,high,2000,0.0,0.0,0.0,89.68658589640754
2000,no_reply,low,2000,0.0,0.0,0.0,73.88732643829084
2000,no_reply,high,2000,0.0,0.0,0.0,82.30475689740567
2000,reply_off_target,low,2000,0.0,0.0,0.0,83.49380772914384
2000,reply_off_target,high,2000,0.0,0.0,0.0,93.95657104741224
2000,reply_on_target,low,2000,0.0,0.0,0.0,78.09370322687357
2000,reply_on_target,high,2000,0.0,0.0,0.0,89.68658589640754
4000,no_edge,low,2000,0.2058511354017578,0.05061028353259111,-0.08789915470910348,75.93830111624168
4000,no_edge,high,2000,0.276555480857521,0.07845642753895755,0.0,84.02867144107566
4000,with_edge,low,2000,0.1743626367203599,0.04111739405213929,0.0,78.09370322687357
4000,with_edge,high,2000,0.3901321174030359,0.09973328736320923,0.12258046686236534,89.8091663632699
4000,no_reply,low,2000,0.18150536163788478,0.04764756090145722,-0.08352808115833499,73.80379835713251
4000,no_reply,high,2000,0.1811541439138642,0.06034557887870928,0.04600903496345676,82.35076593236913
4000,reply_off_target,low,2000,0.2950926358517181,0.05941557253221561,-0.008634542228169728,83.48517318691567
4000,reply_off_target,high,2000,0.35615760351621617,0.061211401110519745,0.01952437063972301,93.97609541805197
4000,reply_on_target,low,2000,0.1743626367203599,0.04111739405213929,0.0,78.09370322687357
4000,reply_on_target,high,2000,0.3901321174030359,0.09973328736320923,0.12258046686236534,89.8091663632699
