nonintegration_streak,switched,n,repositories,merge_rate_30d,std_error,ci_low,ci_high
1,False,21741,6961,0.697392024285912,0.006868060327164211,0.6839306260446701,0.7108534225271538
1,True,7984,5529,0.7178106212424855,0.005748201763160266,0.7065441457866914,0.7290770966982796
2,False,5153,2505,0.5588977294779742,0.013029552554083132,0.5333598064719713,0.5844356524839771
2,True,1680,1347,0.6232142857142857,0.013580013547967224,0.59659745916027,0.6498311122683015
3+,False,6585,1360,0.25269552012148844,0.05457309702681424,0.14573224994893252,0.35965879029404435
3+,True,1549,909,0.4325371207230471,0.021272897035641367,0.39084224253319005,0.4742319989129042
