nonintegration_streak,n,repositories,switch_rate,switch_rate_se,switch_rate_ci_low,switch_rate_ci_high,switch_merge_contrast_pp,contrast_se_pp,contrast_ci_low_pp,contrast_ci_high_pp
1,29725,10105,0.2685954583683766,0.006977554370426265,0.25491945180234116,0.2822714649344121,2.0418596956572426,0.8178140150501207,0.4389442261590059,3.6447751651554796
2,6833,3392,0.24586565198302301,0.009650929847408472,0.2269498294821024,0.2647814744839436,6.431655623631174,1.7582375324449357,2.9855100600391005,9.877801187223248
3+,8134,1836,0.1904352102286696,0.03339725328427822,0.12497659379148429,0.2558938266658549,17.984160060155816,5.617370425763017,6.9741140256603025,28.994206094651332
