term,estimate,std_error,p_value,ci_low,ci_high,n,repositories,r_squared_within
prior_merged,0.07693739836893315,0.008467236881777333,1.0229510918603812e-19,0.060341919032080346,0.09353287770578596,466467,31323,0.017130461816125986
switched,0.06477264585015485,0.007517117729466425,6.89195790343779e-18,0.05003936583285316,0.07950592586745656,466467,31323,0.017130461816125986
prior_merged_x_switched,-0.10770575755923747,0.008295693195467236,1.5211166538168726e-38,-0.12396501744914726,-0.09144649766932769,466467,31323,0.017130461816125986
log1p_gap_hours,-0.008038956634631703,0.0004333703977573503,8.177721381602506e-77,-0.008888347006201907,-0.0071895662630614985,466467,31323,0.017130461816125986
current_Copilot,-0.1521557839781052,0.006883447805727544,2.855228691075013e-108,-0.16564709376679246,-0.13866447418941794,466467,31323,0.017130461816125986
current_Cursor,-0.14787721980138283,0.007581864862831751,1.0138516658390392e-84,-0.16273740186818278,-0.13301703773458287,466467,31323,0.017130461816125986
current_Devin,-0.07637610257692187,0.01873541548156594,4.5706265154789e-05,-0.11309684215618526,-0.039655362997658476,466467,31323,0.017130461816125986
current_Google_Jules,-0.18037085301636593,0.008419856225482726,8.318595861639933e-102,-0.19687346797331745,-0.16386823805941442,466467,31323,0.017130461816125986
current_OpenAI_Codex,-0.09634175311324607,0.006191925261188719,1.3768913102894007e-54,-0.10847770362013973,-0.08420580260635241,466467,31323,0.017130461816125986
prior_Copilot,0.020010025369401104,0.0037315341001448754,8.211771701433021e-08,0.01269635292603407,0.02732369781276814,466467,31323,0.017130461816125986
prior_Cursor,0.020868554741809663,0.005532617634399651,0.00016200046772063355,0.010024823438155155,0.03171228604546417,466467,31323,0.017130461816125986
prior_Devin,0.010134979405156374,0.011026728163692405,0.35802839757953475,-0.011477010662994223,0.03174696947330697,466467,31323,0.017130461816125986
prior_Google_Jules,0.008658559385129196,0.005613600992027899,0.12297031246409368,-0.0023438963828238055,0.019661015153082197,466467,31323,0.017130461816125986
prior_OpenAI_Codex,-7.308165247100748e-05,0.0032750302122238725,0.9821968411099324,-0.006492022916710368,0.006345859611768353,466467,31323,0.017130461816125986
month_2025-02,-0.6162686122019978,0.012437829428089322,0.0,-0.6406463099269053,-0.5918909144770903,466467,31323,0.017130461816125986
month_2025-03,-0.09193808217448998,0.08005036619094873,0.2507609935486237,-0.24883391685799228,0.06495775250901231,466467,31323,0.017130461816125986
month_2025-04,0.0491312006147886,0.03828562057843267,0.19939372770049268,-0.02590723684470498,0.12416963807428219,466467,31323,0.017130461816125986
month_2025-05,0.05616298749473598,0.018076047243987776,0.001889713342851574,0.020734585913675434,0.09159138907579653,466467,31323,0.017130461816125986
month_2025-06,0.07435500553904748,0.011487347129821763,9.621961238017884e-11,0.05184021888668726,0.09686979219140769,466467,31323,0.017130461816125986
month_2025-07,0.05840314599448501,0.010451892739521526,2.2995670076489256e-08,0.03791781265474714,0.07888847933422288,466467,31323,0.017130461816125986
month_2025-08,0.04518028409807187,0.010627869078946146,2.127097620114766e-05,0.024350043470930546,0.0660105247252132,466467,31323,0.017130461816125986
month_2025-09,0.049316022730281794,0.013807867586070421,0.0003548224449437807,0.022253099558285753,0.07637894590227784,466467,31323,0.017130461816125986
month_2025-10,0.047657408308226824,0.009831168395883402,1.249745253050104e-06,0.02838867232634694,0.06692614429010671,466467,31323,0.017130461816125986
month_2025-11,0.05809698714983361,0.009611834886384476,1.500432658391325e-09,0.039258136947174394,0.07693583735249282,466467,31323,0.017130461816125986
month_2025-12,0.07022619009942921,0.008962781890647694,4.676809268000333e-15,0.052659460392471914,0.08779291980638651,466467,31323,0.017130461816125986
month_2026-01,0.06444509360469856,0.00884963669186186,3.2834559839987055e-13,0.04710012441238513,0.081790062797012,466467,31323,0.017130461816125986
month_2026-02,0.07346073333434673,0.00855311790108605,8.790789195985194e-18,0.05669693029269325,0.09022453637600021,466467,31323,0.017130461816125986
month_2026-03,0.06177163540851063,0.010524791861265159,4.380216384120013e-09,0.04114342241565064,0.08239984840137063,466467,31323,0.017130461816125986
switched_after_prior_merged,-0.04293311170908262,0.002440525828432673,2.8495812674775515e-69,-0.04771654233281066,-0.03814968108535458,466467,31323,0.017130461816125986
