star_bin,stay_n,switch_n,stay_merge_rate,switch_merge_rate,effect_pp,ci_low_pp,ci_high_pp
0,9038,5014,0.6520247842443019,0.6874750698045473,3.545028556024543,1.929312291571339,5.160744820477747
1–9,9254,4276,0.6560406310784526,0.6948082319925164,3.876760091406384,2.190990604099364,5.562529578713403
10–99,5503,1861,0.4635653280029075,0.6362170875873187,17.265175958441116,14.71299992583246,19.81735199104977
100+,10287,4342,0.5257120637698065,0.5105941962229388,-1.5117867546867725,-3.284363286338919,0.2607897769653745
Missing,116,42,0.6379310344827587,0.7142857142857143,7.635467980295562,-8.586715127632013,23.85765108822314
