similarity_decile,n,min_similarity,median_similarity,max_similarity,shared_file_rate,median_file_jaccard
D1,617,0.0,0.0,0.0,0.23500810372771475,0.0
D2,616,0.0,0.0005342634732273786,0.0010430161387901071,0.18344155844155843,0.0
D3,616,0.0010436970259494142,0.0016069392586743733,0.0023328714494656334,0.20616883116883117,0.0
D4,616,0.002333368808518837,0.0034763195133257745,0.005141746925303236,0.1737012987012987,0.0
D5,617,0.0051425536870325,0.007591011666469369,0.009994016021787483,0.2252836304700162,0.0
D6,616,0.009995304618633672,0.012673277485362233,0.016214496108681177,0.2305194805194805,0.0
D7,616,0.01623004437870736,0.02223948079783184,0.035726678102662786,0.26461038961038963,0.0
D8,616,0.03580473226205964,0.0617099430297234,0.10774287931252678,0.4253246753246753,0.0
D9,616,0.1079452100974497,0.19069567874313165,0.3468748513674289,0.6136363636363636,0.047619047619047616
D10,617,0.3471758060968628,0.6676272010690847,1.0000000000000004,0.8752025931928687,0.4
