transition_type,continuation_candidate,n,repositories,merge_rate_30d,median_similarity,median_gap_hours
brand_change_same_contributor,False,2312,1839,0.7257785467128027,0.002389289023229068,44.35736111111111
brand_change_same_contributor,True,284,262,0.7359154929577465,0.20266867249749904,3.0743055555555556
contributor_change_stable_agent,False,2530,875,0.5071146245059288,0.003266483501293358,6.819583333333334
contributor_change_stable_agent,True,263,209,0.6349809885931559,0.2497500851908558,1.3491666666666666
joint_reconfiguration,False,11526,7708,0.6125281971195558,0.003605047609595112,51.8875
joint_reconfiguration,True,1413,1226,0.6383581033262562,0.21652679997976926,1.9111111111111112
persistence,False,19840,6187,0.6297379032258065,0.006472763281709468,1.2295833333333333
persistence,True,11565,3966,0.5233895373973195,0.48841236445862757,0.06972222222222223
