transition_type,same_file,n,repositories,merge_rate_30d,median_shared_files,median_jaccard,median_gap_hours
brand_change_same_contributor,False,64,54,0.65625,0.0,0.0,116.68597222222222
brand_change_same_contributor,True,25,21,0.52,1.0,0.058823529411764705,55.839444444444446
contributor_change_stable_agent,False,301,109,0.4584717607973422,0.0,0.0,15.715277777777779
contributor_change_stable_agent,True,91,49,0.5494505494505495,2.0,0.027777777777777776,7.641111111111111
joint_reconfiguration,False,771,519,0.5006485084306096,0.0,0.0,148.65083333333334
joint_reconfiguration,True,232,176,0.5344827586206896,2.0,0.09761904761904762,27.59
persistence,False,2911,675,0.5589144623840605,0.0,0.0,3.6205555555555557
persistence,True,1768,516,0.5650452488687783,2.0,0.16666666666666666,0.26861111111111113
