transition_type,all_episodes,both_file_observed,both_file_coverage,all_merge_rate,file_subset_merge_rate,file_subset_same_file_share
persistence,31405,4679,0.14898901448813884,0.590574749243751,0.561231032271853,0.37785851677708915
brand_change_same_contributor,2596,89,0.03428351309707242,0.7268875192604006,0.6179775280898876,0.2808988764044944
contributor_change_stable_agent,2793,392,0.14035087719298245,0.519155030433226,0.47959183673469385,0.23214285714285715
joint_reconfiguration,12939,1003,0.07751758250251178,0.6153489450498493,0.5084745762711864,0.2313060817547358
