metric,threshold,stay_n,switch_n,stay_merge_rate,switch_merge_rate,effect_pp,ci_low_pp,ci_high_pp
file_jaccard,0.0,1768,25,0.5650452488687783,0.52,-4.504524886877825,-24.22470591790343,15.21565614414778
file_jaccard,0.1,1087,8,0.5344986200551978,0.875,34.050137994480224,10.941438010230712,57.158837978729736
file_jaccard,0.25,759,6,0.5362318840579711,0.8333333333333334,29.71014492753623,-0.3206110942668705,59.74090094933933
file_jaccard,0.5,513,3,0.5107212475633528,1.0,48.92787524366472,44.6020643489345,53.253686138394954
file_containment,0.0,1768,25,0.5650452488687783,0.52,-4.504524886877825,-24.22470591790343,15.21565614414778
file_containment,0.25,1525,20,0.5560655737704918,0.65,9.39344262295082,-11.658885547378356,30.445770793279998
file_containment,0.5,1267,13,0.5627466456195738,0.6153846153846154,5.263796976504165,-21.32355387488326,31.85114782789159
file_containment,0.75,929,7,0.5511302475780409,0.7142857142857143,16.315546670767343,-17.30334520931054,49.93443855084523
