target,model,n,positive_rate,roc_auc,average_precision,brier,cv
human_mediation_48h,metadata_flags,8608,0.41856412639405205,0.5703502437057807,0.4765288441113694,0.2498929930325118,5-fold repository-grouped
human_mediation_48h,metadata_flags_text,8608,0.41856412639405205,0.5955006691892619,0.4925994785450599,0.24775829403959576,5-fold repository-grouped
author_agent_response_48h,metadata_flags,8608,0.12105018587360594,0.7319654855569137,0.2547717053962438,0.1974874726104628,5-fold repository-grouped
author_agent_response_48h,metadata_flags_text,8608,0.12105018587360594,0.7380514682565655,0.25684570293923764,0.16842666891089253,5-fold repository-grouped
reviewer_continuation_48h,metadata_flags,8608,0.18029739776951673,0.6831618225039157,0.30343098283988457,0.2213246994712053,5-fold repository-grouped
reviewer_continuation_48h,metadata_flags_text,8608,0.18029739776951673,0.6961569045573557,0.33249956946492454,0.20105072876363397,5-fold repository-grouped
force_push_48h,metadata_flags,8608,0.11315055762081784,0.6995513156047274,0.2240876837289466,0.212416960777052,5-fold repository-grouped
force_push_48h,metadata_flags_text,8608,0.11315055762081784,0.6846950500812586,0.21684504824202167,0.17215242969649938,5-fold repository-grouped
