episode_gap_minutes,automation_state,exclusion_unit,state,full_share,minimum_loo_share,maximum_loo_share,maximum_absolute_shift_percentage_points,exclusions
5,1,product_pair,user_account,0.25774971297359356,0.25189063408958695,0.2684696569920844,1.0719944018490857,24
5,1,product_pair,another_automation,0.3587830080367394,0.35231316725978645,0.36470588235294116,0.6469840776952951,24
5,1,product_pair,branch_movement_untyped,0.05453501722158439,0.045656309448319596,0.05762987012987013,0.8878707773264792,24
5,1,product_pair,no_later_episode,0.32893226176808266,0.3179419525065963,0.34200968523002423,1.3077423461941573,24
5,2,product_pair,user_account,0.1906906906906907,0.16666666666666666,0.20207253886010362,2.4024024024024038,23
5,2,product_pair,another_automation,0.48348348348348347,0.45768566493955093,0.5085470085470085,2.5797818543932536,23
5,2,product_pair,branch_movement_untyped,0.05855855855855856,0.04700854700854701,0.06735751295336788,1.155001155001155,23
5,2,product_pair,no_later_episode,0.2672672672672673,0.25779967159277506,0.2777777777777778,1.0510510510510496,23
5,3,product_pair,user_account,0.15835777126099707,0.14826498422712933,0.1693548387096774,1.0997067448680342,19
5,3,product_pair,another_automation,0.5718475073313783,0.5579937304075235,0.6088709677419355,3.702346041055715,19
5,3,product_pair,branch_movement_untyped,0.06158357771260997,0.036290322580645164,0.07394366197183098,2.529325513196481,19
5,3,product_pair,no_later_episode,0.20821114369501467,0.18309859154929578,0.21656050955414013,2.5112552145718894,19
5,4,product_pair,user_account,0.0975609756097561,0.08917197452229299,0.11560693641618497,1.8045960806428867,16
5,4,product_pair,another_automation,0.6292682926829268,0.6069364161849711,0.6528497409326425,2.358144824971564,16
5,4,product_pair,branch_movement_untyped,0.06341463414634146,0.0481283422459893,0.07514450867052024,1.528629190035216,16
5,4,product_pair,no_later_episode,0.2097560975609756,0.19689119170984457,0.2229299363057325,1.3173838744756887,16
5,1,repository,user_account,0.25774971297359356,0.2515979081929111,0.2620164126611958,0.6151804780682446,484
5,1,repository,another_automation,0.3587830080367394,0.3453887884267631,0.3635831381733021,1.3394219609976277,484
5,1,repository,branch_movement_untyped,0.05453501722158439,0.050175029171528586,0.05555555555555555,0.4359988050055802,484
5,1,repository,no_later_episode,0.32893226176808266,0.3223915592028136,0.3387582881253767,0.9826026357294071,484
5,2,repository,user_account,0.1906906906906907,0.1783960720130933,0.19448698315467075,1.2294618677597402,235
5,2,repository,another_automation,0.48348348348348347,0.47473200612557426,0.49754500818330605,1.406152469982258,235
5,2,repository,branch_movement_untyped,0.05855855855855856,0.05237315875613748,0.05972434915773354,0.6185399802421075,235
5,2,repository,no_later_episode,0.2672672672672673,0.2636363636363636,0.27217125382262997,0.49039865553626716,235
5,3,repository,user_account,0.15835777126099707,0.14836795252225518,0.1641337386018237,0.9989818738741885,146
5,3,repository,another_automation,0.5718475073313783,0.5592705167173252,0.5862068965517241,1.4359389220345742,146
5,3,repository,branch_movement_untyped,0.06158357771260997,0.051829268292682924,0.06382978723404255,0.9754309419927047,146
5,3,repository,no_later_episode,0.20821114369501467,0.20238095238095238,0.2132132132132132,0.5830191314062289,146
5,4,repository,user_account,0.0975609756097561,0.09,0.10152284263959391,0.7560975609756104,105
5,4,repository,another_automation,0.6292682926829268,0.6180904522613065,0.645,1.5731707317073185,105
5,4,repository,branch_movement_untyped,0.06341463414634146,0.045,0.06701030927835051,1.8414634146341466,105
5,4,repository,no_later_episode,0.2097560975609756,0.2019704433497537,0.2182741116751269,0.851801411415129,105
