episode_gap_minutes,automation_state,next_transition,observed_at_risk_prs,observed_share,permuted_order_mean_share,permuted_order_ci_low,permuted_order_ci_high,observed_minus_permuted_mean,permutation_draws
5,1,user_account,1742,0.25774971297359356,0.25122238987055256,0.23652448061083717,0.26666023820783485,0.006527323103040994,500
5,1,another_automation,1742,0.3587830080367394,0.34889445875477954,0.3354285824368449,0.36128743870826696,0.009888549281959869,500
5,1,branch_movement_untyped,1742,0.05453501722158439,0.04880711575508037,0.041008230559004745,0.05733607221618235,0.0057279014665040165,500
5,1,no_later_episode,1742,0.32893226176808266,0.3510760356195875,0.34342656127199084,0.3590737061216766,-0.022143773851504844,500
5,2,user_account,666,0.1906906906906907,0.16987654269121283,0.14345101351351353,0.19542195514620542,0.020814147999477867,500
5,2,another_automation,666,0.48348348348348347,0.4823117716375124,0.458668621639234,0.5054634443972835,0.0011717118459710907,500
5,2,branch_movement_untyped,666,0.05855855855855856,0.056937571318187156,0.04258632717125915,0.07236842105263158,0.0016209872403714007,500
5,2,no_later_episode,666,0.2672672672672673,0.29087411435308763,0.279758657798409,0.30388173408307634,-0.023606847085820337,500
5,3,user_account,341,0.15835777126099707,0.1256115169297346,0.09300883002207506,0.16093968219863072,0.032746254331262464,500
5,3,another_automation,341,0.5718475073313783,0.5874119589137822,0.5551898293277604,0.615765306122449,-0.015564451582403827,500
5,3,branch_movement_untyped,341,0.06158357771260997,0.05248603016699554,0.03333965796397491,0.07448642183762488,0.009097547545614433,500
5,3,no_later_episode,341,0.20821114369501467,0.23449049398948765,0.21947205443841272,0.25,-0.02627935029447298,500
5,4,user_account,205,0.0975609756097561,0.1016669747067248,0.06415579958819492,0.14,-0.004105999096968696,500
5,4,another_automation,205,0.6292682926829268,0.6240102295505214,0.5876288659793815,0.6622512652403956,0.0052580631324053995,500
5,4,branch_movement_untyped,205,0.06341463414634146,0.04782769669424563,0.02557234432234432,0.0761159236371662,0.015586937452095835,500
5,4,no_later_episode,205,0.2097560975609756,0.22649509904850817,0.2079207920792079,0.24324324324324326,-0.016739001487532573,500
