exclusion_unit,excluded_group,excluded_group_prs,remaining_prs,remaining_mean_difference
repository,304830226,1,494,0.008671370943236235
repository,620373427,1,494,0.00968351669222409
repository,391740664,1,494,0.008671370943236235
repository,1111357457,2,493,0.00868895993095071
repository,462597790,6,489,0.009138737078003856
repository,1118273977,2,493,0.00868895993095071
repository,307176956,4,491,0.010179109898664796
repository,796633002,1,494,0.008671370943236235
repository,161133770,1,494,0.008671370943236235
repository,60024365,1,494,0.008671370943236235
repository,1013972654,5,490,0.008742157644813673
repository,224498849,5,490,0.008742157644813673
repository,165933530,1,494,0.008671370943236235
repository,15231212,2,493,0.00868895993095071
repository,976568879,1,494,0.008671370943236235
repository,920603619,5,490,0.008742157644813673
repository,722184017,3,492,0.008706620418615245
repository,1012625755,13,482,0.008887255697009752
repository,1120304511,1,494,0.008671370943236235
repository,1146336156,2,493,0.00767476114798925
repository,1088382917,1,494,0.008671370943236235
repository,257089738,4,491,0.008215187873642974
repository,951127926,1,494,0.008671370943236235
repository,564072810,2,493,0.00868895993095071
repository,1122751442,2,493,0.00868895993095071
repository,1154162014,1,494,0.008671370943236235
repository,428780722,11,484,0.008247914420024864
repository,1152573886,7,488,0.007767230437885592
repository,133559983,1,494,0.008671370943236235
repository,1156994049,3,492,0.008706620418615245
repository,390115983,1,494,0.008671370943236235
repository,306976345,2,493,0.00970315871391217
repository,369755856,1,494,0.00968351669222409
repository,139199684,10,485,0.008832282981358144
repository,429907564,13,482,0.008887255697009752
repository,197033610,1,494,0.008671370943236235
repository,48299818,1,494,0.008671370943236235
repository,1115043545,1,494,0.008671370943236235
repository,1124281018,1,494,0.008671370943236235
repository,693187866,1,494,0.008671370943236235
repository,1081770999,1,494,0.008671370943236235
repository,10744183,5,490,0.008742157644813673
repository,674149041,5,490,0.008742157644813673
repository,763747649,1,494,0.008671370943236235
repository,1132484374,2,493,0.00868895993095071
repository,102619418,1,494,0.008671370943236235
repository,512270340,3,492,0.008706620418615245
repository,410126981,2,493,0.00868895993095071
repository,1127756424,13,482,0.010333250918938584
repository,781211748,2,493,0.00868895993095071
repository,1103012935,19,476,0.008158943794030883
repository,1138200460,12,483,0.008317910566007598
repository,430749584,13,482,0.00917278560999772
repository,146633589,1,494,0.008671370943236235
repository,790713784,1,494,0.008671370943236235
repository,873328,1,494,0.008671370943236235
repository,967738751,1,494,0.008671370943236235
repository,188592933,1,494,0.008671370943236235
repository,1176347858,1,494,0.008671370943236235
repository,440778041,8,487,0.008796010771989118
repository,201675631,4,491,0.00956297749865795
repository,1013416985,2,493,0.00868895993095071
repository,900550981,1,494,0.010358280524882659
repository,1112828151,3,492,0.0076903602560136185
repository,1143461873,1,494,0.008671370943236235
repository,12888993,4,491,0.008724352843093076
repository,1057144703,1,494,0.009076229242831378
repository,821183982,1,494,0.008671370943236235
repository,1051086270,3,492,0.008706620418615245
repository,1148615527,3,492,0.008706620418615245
repository,1163037979,1,494,0.008671370943236235
repository,50272879,1,494,0.008671370943236235
repository,130367302,1,494,0.008671370943236235
repository,775839592,3,492,0.009214750499916057
repository,707441527,1,494,0.008671370943236235
repository,132453438,1,494,0.008671370943236235
repository,101194285,3,492,0.009384127193682994
repository,347341547,2,493,0.00868895993095071
repository,703114651,2,493,0.00767476114798925
repository,626805178,1,494,0.008671370943236235
repository,577757880,1,494,0.008671370943236235
repository,891316389,1,494,0.008671370943236235
repository,429578090,1,494,0.008671370943236235
repository,1153130349,1,494,0.008671370943236235
repository,350399100,5,490,0.008402021590391905
repository,1161771302,1,494,0.008671370943236235
repository,643978507,1,494,0.008671370943236235
repository,642497346,1,494,0.008671370943236235
repository,158147798,1,494,0.008671370943236235
repository,42009758,1,494,0.008671370943236235
repository,65600975,1,494,0.008671370943236235
repository,1177129875,1,494,0.008671370943236235
repository,3732632,1,494,0.008671370943236235
