washout_minutes,eligible_prs,repositories,observed_same_product_share,random_order_expected_share,observed_minus_random_order,repository_cluster_difference_ci_low,repository_cluster_difference_ci_high,ambiguous_next_product_ties_excluded
0,541,203,0.822550831792976,0.8241453050361741,-0.001594473243198119,-0.022226147548953048,0.020629113593500382,0
5,495,195,0.8444444444444444,0.8357905914223057,0.008653853022138789,-0.010828272622732598,0.0314517688498237,0
30,385,166,0.8285714285714286,0.8308991575542413,-0.0023277289828126935,-0.019608118155361808,0.014986869658976339,0
60,323,149,0.8173374613003096,0.8246416283018565,-0.007304167001546776,-0.03184392852851173,0.015728542560475213,0
