washout_minutes,exclusion_unit,state,full_share,minimum_loo_share,maximum_loo_share,maximum_absolute_shift_percentage_points,exclusions
5,product_pair,user_account,0.23484848484848486,0.22444444444444445,0.24537037037037038,1.0521885521885515,23
5,product_pair,same_mapped_product,0.30735930735930733,0.29138321995464855,0.31679819616685456,1.5976087404658779,23
5,product_pair,different_mapped_product,0.046536796536796536,0.04046242774566474,0.05167958656330749,0.6074368791131796,23
5,product_pair,other_bot,0.04220779220779221,0.0367816091954023,0.046511627906976744,0.5426183012389909,23
5,product_pair,branch_movement_untyped,0.03896103896103896,0.034482758620689655,0.04086265607264472,0.44782803403493054,23
5,product_pair,no_later_state,0.3300865800865801,0.3172645739910314,0.3375722543352601,1.2822006095548677,23
5,repository,user_account,0.23484848484848486,0.22394678492239467,0.23977900552486187,1.0901699926090191,325
5,repository,same_mapped_product,0.30735930735930733,0.29812981298129815,0.31201764057331866,0.9229494378009184,325
5,repository,different_mapped_product,0.046536796536796536,0.0429042904290429,0.04767184035476718,0.3632506107753633,325
5,repository,other_bot,0.04220779220779221,0.03723986856516977,0.04328523862375139,0.49679236426224405,325
5,repository,branch_movement_untyped,0.03896103896103896,0.0350109409190372,0.03995560488346282,0.39500980420017623,325
5,repository,no_later_state,0.3300865800865801,0.3230769230769231,0.3370288248337029,0.7009657009657,325
