response_actor_role,prs,share_of_exposed_prs
author_account,72,0.6605504587155964
other_human,24,0.22018348623853212
triggering_reviewer_brand,11,0.10091743119266056
author_agent_brand,1,0.009174311926605505
other_bot,1,0.009174311926605505
