threshold_hours,specification,exclusions,estimate_min,estimate_max,ci_low_min,ci_low_max,ci_high_min,ci_high_max,minimum_remaining_exposed_prs,all_estimates_positive,all_intervals_positive
1,A_pretrigger_only,21,0.1627311094658316,0.20486030386541182,0.015631830837016775,0.07686747115216362,0.29048819313659596,0.33994854289983434,43,True,True
1,B_route_decomposition,21,0.06459289060460056,0.15772191476007347,-0.08657805910909104,0.022748982818624197,0.21576384031829215,0.2994701291301449,43,True,False
6,A_pretrigger_only,21,0.159292220958006,0.21150457777134346,0.04416123932236285,0.09491355489069524,0.27442320259364916,0.3315308031959525,57,True,True
6,B_route_decomposition,21,0.09547363026161501,0.15941996964148908,-0.04354058249184001,0.03461544104538812,0.22764848733443221,0.2870213952021751,57,True,False
24,A_pretrigger_only,21,0.15814615297255136,0.22807675151721976,0.05137319348787267,0.10623844552308552,0.26491911245723004,0.349915057511354,68,True,True
24,B_route_decomposition,21,0.10865037555770807,0.14966805438482567,-0.01037725877486223,0.03951586255294835,0.21821676552812805,0.2644549506435975,68,True,False
48,A_pretrigger_only,21,0.146754068055826,0.2177477266655213,0.04140066195772739,0.09850613913278697,0.2521074741539246,0.3369893141982556,70,True,True
48,B_route_decomposition,21,0.09533840648851623,0.14275097544223742,-0.01930181748326587,0.02417738196808422,0.20483471662999508,0.2613245689163906,70,True,False
