threshold_hours,variable,exposed_mean,unexposed_mean,standardized_mean_difference
1,log1p_trigger_age_hours,1.1168994154861243,1.227946629513854,-0.0586802671439111
1,log1p_pre_events,1.0430086855360705,0.9104683168704236,0.15757908856039657
1,pre_user_events,1.064516129032258,0.8298507462686567,0.09594865814049795
1,pre_bot_events,2.1774193548387095,2.2766169154228857,-0.017852402279753706
1,pre_decisive_reviews,0.04838709677419355,0.06567164179104477,-0.05077910042884001
1,pre_force_pushes,0.20967741935483872,0.21592039800995025,-0.006112188304524688
6,log1p_trigger_age_hours,1.07521822508949,1.2343173894636768,-0.0847233928521897
6,log1p_pre_events,0.9426468985900242,0.9160240200604179,0.032294100523876504
6,pre_user_events,0.7674418604651163,0.8501529051987767,-0.03460642873707432
6,pre_bot_events,1.9534883720930232,2.2986748216106014,-0.06506961724917812
6,pre_decisive_reviews,0.03488372093023256,0.0672782874617737,-0.09692512294545384
6,pre_force_pushes,0.1744186046511628,0.21916411824668705,-0.0454626038622663
24,log1p_trigger_age_hours,1.0238413613744952,1.2428396934980432,-0.11835847447318738
24,log1p_pre_events,0.9604292483898929,0.913605976246587,0.057159702196500094
24,pre_user_events,0.7884615384615384,0.8494288681204569,-0.025345980116387813
24,pre_bot_events,1.9038461538461537,2.3104880581516096,-0.07813501806641067
24,pre_decisive_reviews,0.028846153846153848,0.06853582554517133,-0.1193737261836712
24,pre_force_pushes,0.19230769230769232,0.21806853582554517,-0.025295570784761766
48,log1p_trigger_age_hours,1.109956775727852,1.2341845906756024,-0.06562096754685103
48,log1p_pre_events,0.9697408531423124,0.9123021335756786,0.06978394908562037
48,pre_user_events,0.7798165137614679,0.8507306889352818,-0.029505273241702077
48,pre_bot_events,1.963302752293578,2.305845511482255,-0.0658589935694252
48,pre_decisive_reviews,0.045871559633027525,0.06680584551148225,-0.05890782248102946
48,pre_force_pushes,0.22935779816513763,0.2139874739039666,0.014741812212766157
