threshold_hours,specification,term,estimate,ci_low,ci_high,p_value
1,A_pretrigger_only,Intercept,0.3482436793488939,-0.14188641405740227,0.8383737727551901,0.16374701721030682
1,A_pretrigger_only,C(author_agent)[T.Copilot],-0.015907731168153062,-0.21210254262480058,0.18028708028849447,0.8737347113330026
1,A_pretrigger_only,C(author_agent)[T.Cursor],-0.22509570366162662,-0.389799294175183,-0.06039211314807022,0.007392470871040338
1,A_pretrigger_only,C(author_agent)[T.Devin],-0.2675223923044747,-0.5209082114566708,-0.01413657315227873,0.03851684132598761
1,A_pretrigger_only,C(author_agent)[T.Google_Jules],-0.3345584655126832,-0.5615481229376499,-0.10756880808771652,0.0038674300927350734
1,A_pretrigger_only,C(author_agent)[T.OpenAI_Codex],-0.18958607232060223,-0.3323022229834678,-0.04686992165773668,0.009223884176696931
1,A_pretrigger_only,C(trigger_reviewer_agent)[T.Copilot],0.02950946429653918,-0.15086758492083058,0.20988651351390897,0.748477380029473
1,A_pretrigger_only,C(trigger_reviewer_agent)[T.Cursor],-0.069051149275639,-0.2880151148133103,0.14991281626203234,0.5365210463440527
1,A_pretrigger_only,C(trigger_reviewer_agent)[T.Devin],-0.20786257329855518,-0.469759413598542,0.05403426700143166,0.11980647981406635
1,A_pretrigger_only,C(trigger_reviewer_agent)[T.OpenAI_Codex],-0.1997167957196565,-0.41154087541639506,0.01210728397708205,0.0646113394569074
1,A_pretrigger_only,C(trigger_month)[T.2025-05],0.32742287037055956,-0.1724439541731579,0.827289694914277,0.19920633939047028
1,A_pretrigger_only,C(trigger_month)[T.2025-06],0.09488708231812402,-0.3707327571399005,0.5605069217761486,0.6895878929582281
1,A_pretrigger_only,C(trigger_month)[T.2025-07],0.15307263396192305,-0.31616522632487626,0.6223104942487223,0.5225819293323367
1,A_pretrigger_only,C(trigger_month)[T.2025-08],0.22025578484874267,-0.27125059956753717,0.7117621692650224,0.3797772399313927
1,A_pretrigger_only,C(trigger_month)[T.2025-09],0.12961965905785647,-0.3362247110525468,0.5954640291682598,0.5855104065997281
1,A_pretrigger_only,C(trigger_month)[T.2025-10],0.22913053361455865,-0.2373007561020094,0.6955618233311267,0.33563977835988845
1,A_pretrigger_only,C(trigger_month)[T.2025-11],0.04173352142091263,-0.43588037648510236,0.5193474193269276,0.8640192606918755
1,A_pretrigger_only,C(trigger_month)[T.2025-12],0.20305334557851035,-0.2722165244236219,0.6783232155806426,0.4023840165082847
1,A_pretrigger_only,C(trigger_month)[T.2026-01],0.07023370172567855,-0.40193584731239523,0.5424032507637524,0.7706396266503523
1,A_pretrigger_only,C(trigger_month)[T.2026-02],0.20853724552773042,-0.255298766933021,0.6723732579884819,0.37821751697776806
1,A_pretrigger_only,C(trigger_month)[T.2026-03],0.15081544324390653,-0.3208523507378871,0.6224832372257002,0.5308578073815868
1,A_pretrigger_only,exact_parent_reply_by_1h,0.1802113451142466,0.05678910009311025,0.30363359013538294,0.004212645423682074
1,A_pretrigger_only,log1p_trigger_age_hours,0.006072858129640022,-0.01344194391125968,0.025587660170539723,0.5419108940392465
1,A_pretrigger_only,log1p_pre_events,0.0274249471020206,-0.042187715762919666,0.09703760996696087,0.44002141458784627
1,A_pretrigger_only,pre_user_events,0.0027552545209122265,-0.011484512425697837,0.01699502146752229,0.704514321949513
1,A_pretrigger_only,pre_bot_events,-0.0036183653429639577,-0.009329416152228424,0.002092685466300509,0.2143179324452521
1,A_pretrigger_only,pre_decisive_reviews,0.050904694405628996,-0.011971519080283509,0.1137809078915415,0.11256013919199268
1,A_pretrigger_only,pre_force_pushes,0.015344801610178385,-0.002798166538044978,0.033487769758401745,0.09738181599011976
1,B_route_decomposition,Intercept,0.21903394688498987,-0.2613254387341336,0.6993933325041134,0.3714807938980029
1,B_route_decomposition,C(author_agent)[T.Copilot],-0.02246512456045191,-0.20539786796502005,0.16046761884411623,0.8097921993147184
1,B_route_decomposition,C(author_agent)[T.Cursor],-0.18082763948232344,-0.3367977943971508,-0.02485748456749609,0.023066586655474616
1,B_route_decomposition,C(author_agent)[T.Devin],-0.22535541295123795,-0.46648741915197445,0.01577659324949854,0.066991803029605
1,B_route_decomposition,C(author_agent)[T.Google_Jules],-0.2928320491639217,-0.5126065039628838,-0.0730575943649596,0.009014685019103545
1,B_route_decomposition,C(author_agent)[T.OpenAI_Codex],-0.16467349628228758,-0.2952703530382994,-0.03407663952627574,0.01345936882540291
1,B_route_decomposition,C(trigger_reviewer_agent)[T.Copilot],0.04409226928637865,-0.14773912186283422,0.23592366043559154,0.6523528925792421
1,B_route_decomposition,C(trigger_reviewer_agent)[T.Cursor],-0.03672812395083845,-0.2632359547232129,0.189779706821536,0.7506312535176557
1,B_route_decomposition,C(trigger_reviewer_agent)[T.Devin],-0.1856487388061281,-0.4395557682393791,0.06825829062712291,0.15183975243734935
1,B_route_decomposition,C(trigger_reviewer_agent)[T.OpenAI_Codex],-0.16482747524437588,-0.3846941589700291,0.055039208481277385,0.14174428907479739
1,B_route_decomposition,C(trigger_month)[T.2025-05],0.3866987030653446,-0.10794003546612335,0.8813374415968125,0.12545809944869302
1,B_route_decomposition,C(trigger_month)[T.2025-06],0.1192302478096432,-0.33594034670878187,0.5744008423280682,0.6076678451878716
1,B_route_decomposition,C(trigger_month)[T.2025-07],0.17835661680537762,-0.2788827860080351,0.6355960196187904,0.44455237176420626
1,B_route_decomposition,C(trigger_month)[T.2025-08],0.24715565447433502,-0.2323645212609714,0.7266758302096414,0.312394584749106
1,B_route_decomposition,C(trigger_month)[T.2025-09],0.1576496680404169,-0.29794812882658933,0.6132474649074231,0.49764315918398017
1,B_route_decomposition,C(trigger_month)[T.2025-10],0.24746787888481292,-0.20789101315472897,0.7028267709243547,0.28680546638384274
1,B_route_decomposition,C(trigger_month)[T.2025-11],0.05655475333153913,-0.40717108129801544,0.5202805879610937,0.8110808263143819
1,B_route_decomposition,C(trigger_month)[T.2025-12],0.238943616093076,-0.22515465312857566,0.7030418853147277,0.3129273822651861
1,B_route_decomposition,C(trigger_month)[T.2026-01],0.10440718291358095,-0.35330428105466016,0.5621186468818221,0.654816231154947
1,B_route_decomposition,C(trigger_month)[T.2026-02],0.21414964661959437,-0.23705968287561865,0.6653589761148074,0.35225529320797866
1,B_route_decomposition,C(trigger_month)[T.2026-03],0.15508655220753045,-0.3000157304935904,0.6101888349086514,0.5041956849775393
1,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.automation_no_human]",0.03516945683414155,-0.05059433731698182,0.12093325098526492,0.4215533656567988
1,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.automation_then_human]",0.24224026597510365,0.13723117610459334,0.34724935584561395,6.1448295450490745e-06
1,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.human_first]",0.12038440702094426,0.02846171202775312,0.21230710201413538,0.010263558506468897
1,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.movement_only]",0.27984812891881317,0.08368933741093637,0.47600692042668996,0.005171306776423371
1,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.other_activity]",0.16907288081348862,0.005880196058947101,0.3322655655680301,0.042297023902912505
1,B_route_decomposition,exact_parent_reply_by_1h,0.13002420690747513,0.005535608088626173,0.25451280572632407,0.04064657004752461
1,B_route_decomposition,log1p_trigger_age_hours,0.012607831717866783,-0.007087424318476768,0.032303087754210334,0.20960136128191686
1,B_route_decomposition,log1p_pre_events,0.015279980966268812,-0.05008306152235671,0.08064302345489434,0.6468212197823544
1,B_route_decomposition,pre_user_events,0.002044479363355943,-0.01146641502108992,0.015555373747801806,0.7667846465358179
