relative_path,is_parquet,remote_bytes,local_bytes,bytes_match,hub_blob_oid,hub_lfs_sha256,local_sha256,sha256_match
train-00107.parquet,True,6224555,6224555,True,3f287ee08d36f440702b2e7d378fc0446469676e,f3d86ef90c971e1ce06cf038462ff8f755e8bc623e278083618665e4fd218870,f3d86ef90c971e1ce06cf038462ff8f755e8bc623e278083618665e4fd218870,True
train-00108.parquet,True,5180882,5180882,True,0e85d0fe5680dfcc5111aa6e2343278d48ca2545,cbbb4c36344e618ac30eb28c3374c65d89c28cb689b3c482ab5f5ad0d6002e10,cbbb4c36344e618ac30eb28c3374c65d89c28cb689b3c482ab5f5ad0d6002e10,True
train-00109.parquet,True,6762356,6762356,True,f2ea656d092bed0f4adfa1014500b9df9002e24e,b67da5498131faf2905cbb0afa95ee564a3edc5839ba1bec5609923077cb4423,b67da5498131faf2905cbb0afa95ee564a3edc5839ba1bec5609923077cb4423,True
train-00110.parquet,True,5908906,5908906,True,ee94a7beba6c8e0226553d2f6d1b052ed937395e,d78b487381636830ea426a7a6f840002bb79899ca5969124bbed5229c573484e,d78b487381636830ea426a7a6f840002bb79899ca5969124bbed5229c573484e,True
train-00111.parquet,True,6108168,6108168,True,6f3bac38860f71c9aa857333826e6bbed7f45f6f,42339a8f4fcfbebae7724105d9f1f5dcf636d323920d81d522afb1c6d5ceb141,42339a8f4fcfbebae7724105d9f1f5dcf636d323920d81d522afb1c6d5ceb141,True
train-00112.parquet,True,6665160,6665160,True,b64e1eeb2370d0dd26fe44ff07a76cecfae264d6,2706a15009b10cb75074bf2f42090553132f2f093f2f65f4c395cf2f46f2d459,2706a15009b10cb75074bf2f42090553132f2f093f2f65f4c395cf2f46f2d459,True
train-00113.parquet,True,6899428,6899428,True,d9e6e0c330da353470fc72f54fc7102c0b8663df,1b05aa01ee1e9d7c8573aaa17c3b85834faafde96c93084daf95af0b3c48c469,1b05aa01ee1e9d7c8573aaa17c3b85834faafde96c93084daf95af0b3c48c469,True
train-00114.parquet,True,6339235,6339235,True,7a0804733e42aeef60608f77f2327d5cc6ec417d,2d294da61d01f58fd2be6bd750578bb9b839b7f62f7d462fed6a307cdcd64c49,2d294da61d01f58fd2be6bd750578bb9b839b7f62f7d462fed6a307cdcd64c49,True
train-00115.parquet,True,6707588,6707588,True,d3061d8f54bef88a54bb71cfbd7d9dc9ef2e800b,0417f7d22d32c7ef3d51ffdadfbb99da1a2dab753f18319e47d479a76e315454,0417f7d22d32c7ef3d51ffdadfbb99da1a2dab753f18319e47d479a76e315454,True
train-00116.parquet,True,6695343,6695343,True,740705d70b876b10c13d648c88b171d89ee4550d,42b8e083cc7b4c39810be684816c4f3296785622b90502544f64bfc7c3b098b9,42b8e083cc7b4c39810be684816c4f3296785622b90502544f64bfc7c3b098b9,True
