feedback_relation,trigger_source,prs,observable_response_rate,direct_reply_rate,force_push_rate,merge_within_7d_rate
cross_product,inline_review_comment,4824,0.6648009950248757,0.15132669983416253,0.1451077943615257,0.701077943615257
same_product,inline_review_comment,17088,0.8108029026217228,0.11973314606741572,0.0625,0.6652621722846442
cross_product,pr_comment,1611,0.6405959031657356,0.0,0.07945375543140906,0.7225325884543762
same_product,pr_comment,48466,0.7367226509305492,0.0,0.04242149135476416,0.5821813229893121
cross_product,submitted_review,2173,0.6046939714680166,0.0,0.10998619420156466,0.7933732167510354
same_product,submitted_review,6122,0.6659588369813786,0.0,0.04573668735707285,0.7878144397255799
