pr_id,trigger_event_id,response_event_id,in_reply_to_id,trigger_dt,response_dt,hours_after_trigger,response_user,response_user_type,response_actor_role,response_dt_right,machine_likeness_score,heuristics_tripped,flag_any,flag_combined
4001531027,2864871483,2864909771,2864871483,2026-02-27 15:24:20+00:00,2026-02-27 15:32:37+00:00,0.13805555555555554,marcellodebernardi,User,author_account,2026-02-27 15:32:37+00:00,0.47075580519604543,0,False,False
4023327555,2885271795,2894852492,2885271795,2026-03-04 18:02:39+00:00,2026-03-06 09:52:35+00:00,39.83222222222222,weiguangli-io,User,author_account,2026-03-06 09:52:35+00:00,0.45552801236983775,0,False,False
3348525997,2310881210,2310912532,2310881210,2025-08-29 18:56:19+00:00,2025-08-29 19:13:39+00:00,0.28888888888888886,PeterDaveHello,User,other_human,2025-08-29 19:13:39+00:00,0.4437627531797524,1,True,False
3348525997,2310881210,2310984666,2310881210,2025-08-29 18:56:19+00:00,2025-08-29 19:35:18+00:00,0.6497222222222222,PeterDaveHello,User,other_human,2025-08-29 19:35:18+00:00,0.4437627531797524,1,True,False
3348525997,2310881210,2311041440,2310881210,2025-08-29 18:56:19+00:00,2025-08-29 19:53:06+00:00,0.9463888888888888,PeterDaveHello,User,other_human,2025-08-29 19:53:06+00:00,0.4437627531797524,1,True,False
3969734457,2934104097,2934108175,2934104097,2026-03-13 22:52:06+00:00,2026-03-13 22:53:25+00:00,0.021944444444444444,jcstein,User,author_account,2026-03-13 22:53:25+00:00,0.4365092046306003,0,False,False
3466443233,2389226974,2389245847,2389226974,2025-09-29 20:42:52+00:00,2025-09-29 20:51:57+00:00,0.15138888888888888,yamcodes,User,other_human,2025-09-29 20:51:57+00:00,0.43063645841826353,1,True,False
3869069306,2740194419,2740198380,2740194419,2026-01-29 06:44:01+00:00,2026-01-29 06:45:39+00:00,0.02722222222222222,rvdbreemen,User,other_human,2026-01-29 06:45:39+00:00,0.4177812056557103,0,False,False
3712251668,2604368610,2604371486,2604368610,2025-12-09 21:05:43+00:00,2025-12-09 21:06:55+00:00,0.02,OliverZhaohaibin,User,other_human,2025-12-09 21:06:55+00:00,0.4157800696548673,0,False,False
3859291580,2731262678,2731970508,2731262678,2026-01-27 10:15:29+00:00,2026-01-27 13:18:13+00:00,3.0455555555555556,Borda,User,other_human,2026-01-27 13:18:13+00:00,0.4150760923868036,0,False,False
4048147955,2908192633,2908218484,2908192633,2026-03-09 22:08:57+00:00,2026-03-09 22:15:59+00:00,0.11722222222222223,clairernovotny,User,author_account,2026-03-09 22:15:59+00:00,0.4028090661287556,0,False,False
4073656711,2934033371,2934189529,2934033371,2026-03-13 22:24:53+00:00,2026-03-13 23:26:06+00:00,1.0202777777777778,clairernovotny,User,author_account,2026-03-13 23:26:06+00:00,0.4028090661287556,0,False,False
3502147572,2419142184,2419154846,2419142184,2025-10-10 09:53:06+00:00,2025-10-10 09:58:23+00:00,0.08805555555555555,chmouel,User,author_account,2025-10-10 09:58:23+00:00,0.3910342267755704,0,False,False
3504066786,2421610799,2421614782,2421610799,2025-10-10 18:27:42+00:00,2025-10-10 18:28:37+00:00,0.015277777777777777,chmouel,User,author_account,2025-10-10 18:28:37+00:00,0.3910342267755704,0,False,False
3866553359,2818694399,2828677930,2818694399,2026-02-17 19:24:57+00:00,2026-02-19 15:55:54+00:00,44.51583333333333,chmouel,User,author_account,2026-02-19 15:55:54+00:00,0.3910342267755704,0,False,False
3984544879,2848132315,2848167451,2848132315,2026-02-24 16:10:31+00:00,2026-02-24 16:17:05+00:00,0.10944444444444444,chmouel,User,author_account,2026-02-24 16:17:05+00:00,0.3910342267755704,0,False,False
3994824921,2858362130,2859443237,2858362130,2026-02-26 11:01:18+00:00,2026-02-26 14:45:15+00:00,3.7325,chmouel,User,author_account,2026-02-26 14:45:15+00:00,0.3910342267755704,0,False,False
3997453691,2861017341,2861044989,2861017341,2026-02-26 19:55:20+00:00,2026-02-26 20:02:55+00:00,0.12638888888888888,chmouel,User,author_account,2026-02-26 20:02:55+00:00,0.3910342267755704,0,False,False
3938587533,2806146324,2806167427,2806146324,2026-02-13 21:21:06+00:00,2026-02-13 21:26:32+00:00,0.09055555555555556,yvolovich-cyber,User,author_account,2026-02-13 21:26:32+00:00,0.38243648160410876,0,False,False
3969146235,2834187605,2834368362,2834187605,2026-02-20 17:02:02+00:00,2026-02-20 17:41:48+00:00,0.6627777777777778,yvolovich-cyber,User,author_account,2026-02-20 17:41:48+00:00,0.38243648160410876,0,False,False
3951116595,2815317551,2823507789,2815317551,2026-02-17 07:05:23+00:00,2026-02-18 17:17:33+00:00,34.202777777777776,shaypal5,User,author_account,2026-02-18 17:17:33+00:00,0.37374373033098773,0,False,False
3854746713,2726690297,2728179118,2726690297,2026-01-26 08:17:57+00:00,2026-01-26 15:54:25+00:00,7.607777777777778,jjmata,User,other_human,2026-01-26 15:54:25+00:00,0.3668589599284751,0,False,False
4026539887,2888357955,2888511122,2888357955,2026-03-05 08:03:37+00:00,2026-03-05 08:36:13+00:00,0.5433333333333333,justin808,User,author_account,2026-03-05 08:36:13+00:00,0.3596021690581679,0,False,False
3941691954,2807644979,2809973207,2807644979,2026-02-14 16:14:22+00:00,2026-02-15 21:18:48+00:00,29.073888888888888,jeffspahr,User,author_account,2026-02-15 21:18:48+00:00,0.34420477536597294,0,False,False
3980703840,2843681600,2843737007,2843681600,2026-02-23 23:52:43+00:00,2026-02-24 00:13:08+00:00,0.3402777777777778,jeffspahr,User,author_account,2026-02-24 00:13:08+00:00,0.34420477536597294,0,False,False
3987732964,2851389689,2856172102,2851389689,2026-02-25 07:41:41+00:00,2026-02-26 00:22:51+00:00,16.68611111111111,jeffspahr,User,author_account,2026-02-26 00:22:51+00:00,0.34420477536597294,0,False,False
3998427653,2861945738,2862239358,2861945738,2026-02-27 00:31:49+00:00,2026-02-27 02:54:13+00:00,2.3733333333333335,jeffspahr,User,author_account,2026-02-27 02:54:13+00:00,0.34420477536597294,0,False,False
3434725751,2363416958,2364088614,2363416958,2025-09-19 15:56:35+00:00,2025-09-19 18:41:11+00:00,2.743333333333333,kentcdodds,User,other_human,2025-09-19 18:41:11+00:00,0.3435081615017217,0,False,False
3701866949,2594989900,2594991611,2594989900,2025-12-06 15:06:59+00:00,2025-12-06 15:08:02+00:00,0.0175,mikel-brostrom,User,author_account,2025-12-06 15:08:02+00:00,0.34021220167863253,0,False,False
4073260267,2933651441,2933888397,2933651441,2026-03-13 20:35:33+00:00,2026-03-13 21:39:21+00:00,1.0633333333333332,henrypark133,User,author_account,2026-03-13 21:39:21+00:00,0.3322201173352096,0,False,False
3344218910,2292846331,2292850549,2292846331,2025-08-22 06:41:57+00:00,2025-08-22 06:44:11+00:00,0.03722222222222222,MH4GF,User,other_human,2025-08-22 06:44:11+00:00,0.32919064427652456,0,False,False
3775499039,2656854201,2656890340,2656854201,2026-01-02 05:29:23+00:00,2026-01-02 06:02:22+00:00,0.5497222222222222,stdpain,User,other_human,2026-01-02 06:02:22+00:00,0.3233669603243835,0,False,False
3431662870,2360912451,2360965757,2360912451,2025-09-18 19:39:54+00:00,2025-09-18 19:54:34+00:00,0.24444444444444444,ntindle,User,other_human,2025-09-18 19:54:34+00:00,0.3214711907351435,0,False,False
4057036331,2917111434,2922964133,2917111434,2026-03-11 09:40:56+00:00,2026-03-12 08:12:59+00:00,22.534166666666668,hardfist,User,author_account,2026-03-12 08:12:59+00:00,0.31966521758722144,0,False,False
3504066786,2421610799,2422712919,2421610799,2025-10-10 18:27:42+00:00,2025-10-11 10:19:12+00:00,15.858333333333333,zakisk,User,other_human,2025-10-11 10:19:12+00:00,0.31617781846316917,0,False,False
3965097868,2832357075,2834737327,2832357075,2026-02-20 09:55:59+00:00,2026-02-20 19:18:38+00:00,9.3775,wrwg,User,author_account,2026-02-20 19:18:38+00:00,0.3093799826007261,0,False,False
3455276041,2380487955,2380501060,2380487955,2025-09-25 22:57:25+00:00,2025-09-25 23:09:19+00:00,0.19833333333333333,georgewrmarshall,User,author_account,2025-09-25 23:09:19+00:00,0.3049931350884511,0,False,False
3459114176,2383525632,2383529221,2383525632,2025-09-26 21:25:13+00:00,2025-09-26 21:27:53+00:00,0.044444444444444446,georgewrmarshall,User,author_account,2025-09-26 21:27:53+00:00,0.3049931350884511,0,False,False
4048134604,2908198957,2912851305,2908198957,2026-03-09 22:10:43+00:00,2026-03-10 16:06:38+00:00,17.931944444444444,brendanx67,User,author_account,2026-03-10 16:06:38+00:00,0.29599295262647274,0,False,False
4048134604,2908198957,2913046848,2908198957,2026-03-09 22:10:43+00:00,2026-03-10 16:39:57+00:00,18.487222222222222,brendanx67,User,author_account,2026-03-10 16:39:57+00:00,0.29599295262647274,0,False,False
4041907187,2902242686,2902271394,2902242686,2026-03-08 18:36:24+00:00,2026-03-08 19:01:34+00:00,0.41944444444444445,amalshaji,User,author_account,2026-03-08 19:01:34+00:00,0.2952044649880341,1,True,False
3940595829,2868322191,2868415743,2868322191,2026-03-01 03:36:58+00:00,2026-03-01 04:41:49+00:00,1.0808333333333333,giulio-leone,User,author_account,2026-03-01 04:41:49+00:00,0.29241814973944014,2,True,True
3968530200,2865352238,2865620286,2865352238,2026-02-27 17:13:23+00:00,2026-02-27 18:25:29+00:00,1.2016666666666667,bfullam,User,author_account,2026-02-27 18:25:29+00:00,0.2918902191302013,1,True,False
3972520153,2840765382,2840768782,2840765382,2026-02-23 13:04:52+00:00,2026-02-23 13:05:41+00:00,0.01361111111111111,bfullam,User,author_account,2026-02-23 13:05:41+00:00,0.2918902191302013,1,True,False
4005863429,2887842641,2888373761,2887842641,2026-03-05 06:10:47+00:00,2026-03-05 08:06:47+00:00,1.9333333333333333,ScriptedAlchemy,User,author_account,2026-03-05 08:06:47+00:00,0.2785416795399022,0,False,False
3291432970,2253640415,2256158854,2253640415,2025-08-05 09:03:29+00:00,2025-08-06 07:32:16+00:00,22.47972222222222,FunamaYukina,User,other_human,2025-08-06 07:32:16+00:00,0.2767974409882284,0,False,False
3725249781,2615935011,2615962996,2615935011,2025-12-13 01:06:15+00:00,2025-12-13 01:23:25+00:00,0.2861111111111111,HammerGS,User,author_account,2025-12-13 01:23:25+00:00,0.2760040831986925,1,True,False
3153690179,2156900389,2156914252,2156900389,2025-06-19 12:27:36+00:00,2025-06-19 12:34:34+00:00,0.11611111111111111,takenagain,User,author_account,2025-06-19 12:34:34+00:00,0.2538283622785127,1,True,False
3191839195,2177164776,2177617995,2177164776,2025-07-01 10:30:23+00:00,2025-07-01 13:31:12+00:00,3.013611111111111,takenagain,User,author_account,2025-07-01 13:31:12+00:00,0.2538283622785127,1,True,False
4061899785,2922254011,2922262511,2922254011,2026-03-12 04:47:57+00:00,2026-03-12 04:50:18+00:00,0.03916666666666667,OpenSource03,User,other_human,2026-03-12 04:50:18+00:00,0.2401295224533368,0,False,False
4050862742,2910842121,2910868879,2910842121,2026-03-10 10:39:22+00:00,2026-03-10 10:44:25+00:00,0.08416666666666667,banmoy,User,author_account,2026-03-10 10:44:25+00:00,0.23883512434847648,0,False,False
3965601074,2830600955,2831141113,2830600955,2026-02-19 23:13:51+00:00,2026-02-20 03:10:11+00:00,3.938888888888889,gibson042,User,other_human,2026-02-20 03:10:11+00:00,0.23138517286200372,0,False,False
3151118375,2150748189,2152417088,2150748189,2025-06-16 19:47:55+00:00,2025-06-17 14:24:23+00:00,18.607777777777777,saracarl,User,author_account,2025-06-17 14:24:23+00:00,0.2149537956478954,0,False,False
3457144142,2382252118,2382256486,2382252118,2025-09-26 12:23:26+00:00,2025-09-26 12:25:23+00:00,0.0325,kiview,User,other_human,2025-09-26 12:25:23+00:00,0.21100791720426126,0,False,False
3457144142,2382252118,2382268885,2382252118,2025-09-26 12:23:26+00:00,2025-09-26 12:31:03+00:00,0.12694444444444444,kiview,User,other_human,2025-09-26 12:31:03+00:00,0.21100791720426126,0,False,False
3331797283,2356047677,2356055538,2356047677,2025-09-17 16:15:01+00:00,2025-09-17 16:18:24+00:00,0.05638888888888889,rgthelen,User,author_account,2025-09-17 16:18:24+00:00,0.21048813777507314,0,False,False
3929972290,2796949596,2800694476,2796949596,2026-02-12 06:13:10+00:00,2026-02-12 19:31:17+00:00,13.301944444444445,firetix,User,author_account,2026-02-12 19:31:17+00:00,0.2014544649880341,0,False,False
3932508603,2799605083,2799991838,2799605083,2026-02-12 15:40:37+00:00,2026-02-12 16:55:32+00:00,1.2486111111111111,beshkenadze,User,author_account,2026-02-12 16:55:32+00:00,0.1945755966427349,0,False,False
3939956009,2806727478,2806744135,2806727478,2026-02-14 01:08:09+00:00,2026-02-14 01:23:39+00:00,0.25833333333333336,ramarivera,User,author_account,2026-02-14 01:23:39+00:00,0.17075268652271472,0,False,False
3690476500,2585373660,2585874554,2585373660,2025-12-03 14:36:05+00:00,2025-12-03 16:44:58+00:00,2.1480555555555556,finbarrtimbers,User,author_account,2025-12-03 16:44:58+00:00,0.17029241862903916,0,False,False
3943434654,2892905907,2900236353,2892905907,2026-03-05 23:26:02+00:00,2026-03-07 18:30:50+00:00,43.08,ihabadham,User,other_human,2026-03-07 18:30:50+00:00,0.16435089912711845,0,False,False
4060721192,2924844512,2926997977,2924844512,2026-03-12 13:58:14+00:00,2026-03-12 19:46:40+00:00,5.807222222222222,jamescowens,User,author_account,2026-03-12 19:46:40+00:00,0.1545998827357646,0,False,False
3998972901,2862416519,2866427377,2862416519,2026-02-27 04:15:32+00:00,2026-02-27 22:11:55+00:00,17.939722222222223,maxpaulus43,User,other_human,2026-02-27 22:11:55+00:00,0.15370244555507803,0,False,False
3940457364,2807027384,2807050071,2807027384,2026-02-14 05:11:03+00:00,2026-02-14 05:27:24+00:00,0.2725,bb-connor,User,author_account,2026-02-14 05:27:24+00:00,0.1498222898149647,0,False,False
3998972901,2862416519,2866860629,2862416519,2026-02-27 04:15:32+00:00,2026-02-28 01:43:54+00:00,21.47277777777778,arafatkatze,User,author_account,2026-02-28 01:43:54+00:00,0.14922043154424589,0,False,False
4045092171,2904961898,2905694244,2904961898,2026-03-09 11:53:43+00:00,2026-03-09 14:13:10+00:00,2.3241666666666667,David553,User,author_account,2026-03-09 14:13:10+00:00,0.13485101266695593,0,False,False
3215730319,2195680526,2195727271,2195680526,2025-07-09 18:05:21+00:00,2025-07-09 18:35:33+00:00,0.5033333333333333,IvanYashchuk,User,other_human,2025-07-09 18:35:33+00:00,0.13438126896398278,0,False,False
3387368929,2324949482,2324956325,2324949482,2025-09-05 12:21:52+00:00,2025-09-05 12:25:13+00:00,0.05583333333333333,LeoGrin,User,author_account,2025-09-05 12:25:13+00:00,0.13215848670486202,0,False,False
3911762535,2778757938,2785894660,2778757938,2026-02-08 07:30:43+00:00,2026-02-10 05:34:42+00:00,46.06638888888889,rsavitt,User,author_account,2026-02-10 05:34:42+00:00,0.13215848670486202,0,False,False
3954599408,2874291983,2879551187,2874291983,2026-03-02 19:39:36+00:00,2026-03-03 17:22:11+00:00,21.709722222222222,wrxco,User,author_account,2026-03-03 17:22:11+00:00,0.13215848670486202,0,False,False
4070197404,2934577201,2934635510,2934577201,2026-03-14 03:17:28+00:00,2026-03-14 04:03:15+00:00,0.7630555555555556,tonydehnke,User,author_account,2026-03-14 04:03:15+00:00,0.13215848670486202,0,False,False
4070198974,2930332280,2934635815,2930332280,2026-03-13 10:27:01+00:00,2026-03-14 04:03:34+00:00,17.609166666666667,tonydehnke,User,author_account,2026-03-14 04:03:34+00:00,0.13215848670486202,0,False,False
4002372890,2865709832,2865876502,2865709832,2026-02-27 18:48:42+00:00,2026-02-27 19:32:42+00:00,0.7333333333333333,dhruv7539,User,author_account,2026-02-27 19:32:42+00:00,0.12428364588983434,0,False,False
3905234738,2772629048,2772688246,2772629048,2026-02-06 06:59:52+00:00,2026-02-06 07:19:28+00:00,0.32666666666666666,ParaskP7,User,author_account,2026-02-06 07:19:28+00:00,0.12368707918653321,0,False,False
3926937974,2793744084,2798001921,2793744084,2026-02-11 14:54:36+00:00,2026-02-12 10:21:19+00:00,19.44527777777778,ParaskP7,User,author_account,2026-02-12 10:21:19+00:00,0.12368707918653321,0,False,False
4016593599,2878227611,2878317174,2878227611,2026-03-03 13:18:17+00:00,2026-03-03 13:36:48+00:00,0.3086111111111111,ParaskP7,User,author_account,2026-03-03 13:36:48+00:00,0.12368707918653321,0,False,False
