statistic,accounts_with_value,minimum,p25,median,p75,p90,maximum,mean
machine_likeness_score,80,0.05691756217423825,0.10935128474866992,0.19801503081538452,0.32194513313245354,0.4040357687545605,0.47075580519604543,0.22091184439643538
duplicate_normalised_text_share,80,0.0,0.0,0.09090909090909091,0.25208550573514077,0.5021739130434785,1.0,0.16803808555327832
inter_comment_gap_cv,71,0.0,2.105320224674715,2.687471110473842,3.825737285797928,5.6461068917279835,8.029974887721544,3.1116403892099975
narrow_band_gap_share,78,0.0,0.0030120481927710845,0.04234654234654235,0.09090909090909091,0.5333333333333314,1.0,0.15061220677499718
min_hour_share_of_uniform,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comments_per_active_day,80,1.0,2.2705882352941176,3.583333333333333,5.279761904761905,8.040000000000006,18.166666666666668,4.2209848800016445
comments,80,1.0,9.5,25.0,125.25,214.8000000000004,665.0,89.2625
