threshold_hours,prevalence_difference,outcome_difference,induced_bias,adjusted_estimate,residual_estimate,removes_point_estimate,removes_interval
48,0.05,0.05,0.0025000000000000005,0.17346523604933012,0.17096523604933012,False,False
48,0.05,0.1,0.005000000000000001,0.17346523604933012,0.1684652360493301,False,False
48,0.05,0.15,0.0075,0.17346523604933012,0.1659652360493301,False,False
48,0.05,0.2,0.010000000000000002,0.17346523604933012,0.1634652360493301,False,False
48,0.05,0.25,0.0125,0.17346523604933012,0.1609652360493301,False,False
48,0.05,0.3,0.015,0.17346523604933012,0.1584652360493301,False,False
48,0.05,0.35,0.017499999999999998,0.17346523604933012,0.15596523604933013,False,False
48,0.05,0.4,0.020000000000000004,0.17346523604933012,0.1534652360493301,False,False
48,0.05,0.45,0.022500000000000003,0.17346523604933012,0.15096523604933013,False,False
48,0.05,0.5,0.025,0.17346523604933012,0.14846523604933012,False,False
48,0.05,0.55,0.027500000000000004,0.17346523604933012,0.14596523604933012,False,False
48,0.05,0.6,0.03,0.17346523604933012,0.14346523604933012,False,False
48,0.05,0.65,0.0325,0.17346523604933012,0.14096523604933012,False,False
48,0.05,0.7,0.034999999999999996,0.17346523604933012,0.13846523604933011,False,False
48,0.05,0.75,0.037500000000000006,0.17346523604933012,0.1359652360493301,False,False
48,0.05,0.8,0.04000000000000001,0.17346523604933012,0.1334652360493301,False,False
48,0.1,0.05,0.005000000000000001,0.17346523604933012,0.1684652360493301,False,False
48,0.1,0.1,0.010000000000000002,0.17346523604933012,0.1634652360493301,False,False
48,0.1,0.15,0.015,0.17346523604933012,0.1584652360493301,False,False
48,0.1,0.2,0.020000000000000004,0.17346523604933012,0.1534652360493301,False,False
48,0.1,0.25,0.025,0.17346523604933012,0.14846523604933012,False,False
48,0.1,0.3,0.03,0.17346523604933012,0.14346523604933012,False,False
48,0.1,0.35,0.034999999999999996,0.17346523604933012,0.13846523604933011,False,False
48,0.1,0.4,0.04000000000000001,0.17346523604933012,0.1334652360493301,False,False
48,0.1,0.45,0.045000000000000005,0.17346523604933012,0.1284652360493301,False,False
48,0.1,0.5,0.05,0.17346523604933012,0.12346523604933012,False,False
48,0.1,0.55,0.05500000000000001,0.17346523604933012,0.11846523604933011,False,False
48,0.1,0.6,0.06,0.17346523604933012,0.11346523604933012,False,False
48,0.1,0.65,0.065,0.17346523604933012,0.10846523604933012,False,False
48,0.1,0.7,0.06999999999999999,0.17346523604933012,0.10346523604933013,False,False
48,0.1,0.75,0.07500000000000001,0.17346523604933012,0.09846523604933011,False,True
48,0.1,0.8,0.08000000000000002,0.17346523604933012,0.0934652360493301,False,True
48,0.15,0.05,0.0075,0.17346523604933012,0.1659652360493301,False,False
48,0.15,0.1,0.015,0.17346523604933012,0.1584652360493301,False,False
48,0.15,0.15,0.0225,0.17346523604933012,0.15096523604933013,False,False
48,0.15,0.2,0.03,0.17346523604933012,0.14346523604933012,False,False
48,0.15,0.25,0.0375,0.17346523604933012,0.1359652360493301,False,False
48,0.15,0.3,0.045,0.17346523604933012,0.12846523604933013,False,False
48,0.15,0.35,0.0525,0.17346523604933012,0.12096523604933013,False,False
48,0.15,0.4,0.06,0.17346523604933012,0.11346523604933012,False,False
48,0.15,0.45,0.0675,0.17346523604933012,0.10596523604933011,False,False
48,0.15,0.5,0.075,0.17346523604933012,0.09846523604933012,False,True
48,0.15,0.55,0.0825,0.17346523604933012,0.09096523604933011,False,True
48,0.15,0.6,0.09,0.17346523604933012,0.08346523604933012,False,True
48,0.15,0.65,0.0975,0.17346523604933012,0.07596523604933011,False,True
48,0.15,0.7,0.105,0.17346523604933012,0.06846523604933012,False,True
48,0.15,0.75,0.11249999999999999,0.17346523604933012,0.06096523604933013,False,True
48,0.15,0.8,0.12,0.17346523604933012,0.05346523604933012,False,True
48,0.2,0.05,0.010000000000000002,0.17346523604933012,0.1634652360493301,False,False
48,0.2,0.1,0.020000000000000004,0.17346523604933012,0.1534652360493301,False,False
48,0.2,0.15,0.03,0.17346523604933012,0.14346523604933012,False,False
48,0.2,0.2,0.04000000000000001,0.17346523604933012,0.1334652360493301,False,False
48,0.2,0.25,0.05,0.17346523604933012,0.12346523604933012,False,False
48,0.2,0.3,0.06,0.17346523604933012,0.11346523604933012,False,False
48,0.2,0.35,0.06999999999999999,0.17346523604933012,0.10346523604933013,False,False
48,0.2,0.4,0.08000000000000002,0.17346523604933012,0.0934652360493301,False,True
48,0.2,0.45,0.09000000000000001,0.17346523604933012,0.08346523604933011,False,True
48,0.2,0.5,0.1,0.17346523604933012,0.07346523604933011,False,True
48,0.2,0.55,0.11000000000000001,0.17346523604933012,0.0634652360493301,False,True
48,0.2,0.6,0.12,0.17346523604933012,0.05346523604933012,False,True
48,0.2,0.65,0.13,0.17346523604933012,0.043465236049330114,False,True
48,0.2,0.7,0.13999999999999999,0.17346523604933012,0.03346523604933013,False,True
48,0.2,0.75,0.15000000000000002,0.17346523604933012,0.023465236049330096,False,True
48,0.2,0.8,0.16000000000000003,0.17346523604933012,0.013465236049330087,False,True
48,0.25,0.05,0.0125,0.17346523604933012,0.1609652360493301,False,False
48,0.25,0.1,0.025,0.17346523604933012,0.14846523604933012,False,False
48,0.25,0.15,0.0375,0.17346523604933012,0.1359652360493301,False,False
48,0.25,0.2,0.05,0.17346523604933012,0.12346523604933012,False,False
48,0.25,0.25,0.0625,0.17346523604933012,0.11096523604933012,False,False
48,0.25,0.3,0.075,0.17346523604933012,0.09846523604933012,False,True
48,0.25,0.35,0.0875,0.17346523604933012,0.08596523604933012,False,True
48,0.25,0.4,0.1,0.17346523604933012,0.07346523604933011,False,True
48,0.25,0.45,0.1125,0.17346523604933012,0.060965236049330115,False,True
48,0.25,0.5,0.125,0.17346523604933012,0.04846523604933012,False,True
48,0.25,0.55,0.1375,0.17346523604933012,0.03596523604933011,False,True
48,0.25,0.6,0.15,0.17346523604933012,0.023465236049330124,False,True
48,0.25,0.65,0.1625,0.17346523604933012,0.010965236049330113,False,True
48,0.25,0.7,0.175,0.17346523604933012,-0.0015347639506698707,True,True
48,0.25,0.75,0.1875,0.17346523604933012,-0.014034763950669882,True,True
48,0.25,0.8,0.2,0.17346523604933012,-0.026534763950669893,True,True
48,0.3,0.05,0.015,0.17346523604933012,0.1584652360493301,False,False
48,0.3,0.1,0.03,0.17346523604933012,0.14346523604933012,False,False
48,0.3,0.15,0.045,0.17346523604933012,0.12846523604933013,False,False
48,0.3,0.2,0.06,0.17346523604933012,0.11346523604933012,False,False
48,0.3,0.25,0.075,0.17346523604933012,0.09846523604933012,False,True
48,0.3,0.3,0.09,0.17346523604933012,0.08346523604933012,False,True
48,0.3,0.35,0.105,0.17346523604933012,0.06846523604933012,False,True
48,0.3,0.4,0.12,0.17346523604933012,0.05346523604933012,False,True
48,0.3,0.45,0.135,0.17346523604933012,0.03846523604933011,False,True
