threshold_hours,exposure,observed_estimate,permutations,seed,repositories_with_within_exposure_variation,permutation_mean,permutation_sd,permutation_p_value_two_sided,permutation_quantile_025,permutation_quantile_975,interpretation
1,exact_parent_reply_by_1h,0.1802113451142471,2000,20260826,32,0.09394696626295289,0.03799471839668177,0.009995002498750625,0.019959527736709497,0.16798017038172472,"design-based reference distribution holding each repository's exposed count fixed; it checks the clustered approximation, not causality"
6,exact_parent_reply_by_6h,0.18485405653668865,2000,20260826,37,0.07844486135755639,0.03431956572625186,0.0014992503748125937,0.012761452313171313,0.14500769585630996,"design-based reference distribution holding each repository's exposed count fixed; it checks the clustered approximation, not causality"
24,exact_parent_reply_by_24h,0.1857628380716973,2000,20260826,46,0.08489127821335277,0.030126143008818745,0.0009995002498750624,0.027334279936156617,0.14386269518387512,"design-based reference distribution holding each repository's exposed count fixed; it checks the clustered approximation, not causality"
48,exact_parent_reply_by_48h,0.17346523604933,2000,20260826,46,0.08332054350823201,0.029629029409674126,0.0009995002498750624,0.028289910245672848,0.14352221157427109,"design-based reference distribution holding each repository's exposed count fixed; it checks the clustered approximation, not causality"
