burst_threshold_minutes,exclusion_unit,excluded_group,excluded_group_prs,remaining_prs,first_post_burst_state,remaining_state_prs,share_all_prs,share_post_burst_actions
0,repository,1431547,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,1459486,2,8606,user_account,2381,0.2766674413200093,0.42893172401369123
0,repository,1459486,2,8606,mapped_product,1303,0.15140599581687195,0.23473248063411997
0,repository,1459486,2,8606,other_bot,1359,0.157913083894957,0.24482075301747433
0,repository,1459486,2,8606,branch_movement_untyped,508,0.05902858470834302,0.09151504233471447
0,repository,1459486,2,8606,no_action_within_7d,3055,0.3549848942598187,
0,repository,1549317,1,8607,user_account,2381,0.27663529685140004,0.42877723752926344
0,repository,1549317,1,8607,mapped_product,1305,0.15162077378877659,0.23500810372771475
0,repository,1549317,1,8607,other_bot,1359,0.15789473684210525,0.24473257698541329
0,repository,1549317,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914820817576085
0,repository,1549317,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,1644196,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,1644196,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,1644196,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,1644196,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,1644196,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,1660282,2,8606,user_account,2381,0.2766674413200093,0.42893172401369123
0,repository,1660282,2,8606,mapped_product,1303,0.15140599581687195,0.23473248063411997
0,repository,1660282,2,8606,other_bot,1359,0.157913083894957,0.24482075301747433
0,repository,1660282,2,8606,branch_movement_untyped,508,0.05902858470834302,0.09151504233471447
0,repository,1660282,2,8606,no_action_within_7d,3055,0.3549848942598187,
0,repository,1790564,2,8606,user_account,2381,0.2766674413200093,0.42893172401369123
0,repository,1790564,2,8606,mapped_product,1303,0.15140599581687195,0.23473248063411997
0,repository,1790564,2,8606,other_bot,1359,0.157913083894957,0.24482075301747433
0,repository,1790564,2,8606,branch_movement_untyped,508,0.05902858470834302,0.09151504233471447
0,repository,1790564,2,8606,no_action_within_7d,3055,0.3549848942598187,
0,repository,1931356,2,8606,user_account,2379,0.2764350453172205,0.42857142857142855
0,repository,1931356,2,8606,mapped_product,1305,0.1516383918196607,0.23509277607638263
0,repository,1931356,2,8606,other_bot,1359,0.157913083894957,0.24482075301747433
0,repository,1931356,2,8606,branch_movement_untyped,508,0.05902858470834302,0.09151504233471447
0,repository,1931356,2,8606,no_action_within_7d,3055,0.3549848942598187,
0,repository,2006005,6,8602,user_account,2379,0.2765635898628226,0.4288804759329367
0,repository,2006005,6,8602,mapped_product,1303,0.15147640083701464,0.2349017486929872
0,repository,2006005,6,8602,other_bot,1359,0.15798651476400838,0.2449972958355868
0,repository,2006005,6,8602,branch_movement_untyped,506,0.058823529411764705,0.09122047953848927
0,repository,2006005,6,8602,no_action_within_7d,3055,0.3551499651243897,
0,repository,2179920,3,8605,user_account,2379,0.27646717024985473,0.42864864864864866
0,repository,2179920,3,8605,mapped_product,1304,0.1515398024404416,0.23495495495495494
0,repository,2179920,3,8605,other_bot,1359,0.157931435212086,0.24486486486486486
0,repository,2179920,3,8605,branch_movement_untyped,508,0.05903544450900639,0.09153153153153153
0,repository,2179920,3,8605,no_action_within_7d,3055,0.3550261475886113,
0,repository,2218679,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,2218679,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,2218679,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,2218679,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,2218679,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,2312301,1,8607,user_account,2381,0.27663529685140004,0.42885446685878964
0,repository,2312301,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,2312301,1,8607,other_bot,1358,0.1577785523411177,0.2445965417867435
0,repository,2312301,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,2312301,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,2373365,1,8607,user_account,2381,0.27663529685140004,0.42877723752926344
0,repository,2373365,1,8607,mapped_product,1305,0.15162077378877659,0.23500810372771475
0,repository,2373365,1,8607,other_bot,1359,0.15789473684210525,0.24473257698541329
0,repository,2373365,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914820817576085
0,repository,2373365,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,2418592,3,8605,user_account,2381,0.2766995932597327,0.429009009009009
0,repository,2418592,3,8605,mapped_product,1304,0.1515398024404416,0.23495495495495494
0,repository,2418592,3,8605,other_bot,1358,0.157815223707147,0.24468468468468468
0,repository,2418592,3,8605,branch_movement_untyped,507,0.0589192330040674,0.09135135135135135
0,repository,2418592,3,8605,no_action_within_7d,3055,0.3550261475886113,
0,repository,2524463,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,2524463,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,2524463,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,2524463,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,2524463,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,2643878,3,8605,user_account,2381,0.2766995932597327,0.42893172401369123
0,repository,2643878,3,8605,mapped_product,1305,0.15165601394538059,0.23509277607638263
0,repository,2643878,3,8605,other_bot,1359,0.157931435212086,0.24482075301747433
0,repository,2643878,3,8605,branch_movement_untyped,506,0.058803021499128416,0.09115474689245182
0,repository,2643878,3,8605,no_action_within_7d,3054,0.3549099360836723,
0,repository,2899580,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,2899580,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,2899580,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,2899580,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,2899580,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,3219804,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,3219804,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,3219804,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,3219804,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,3219804,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,3244931,2,8606,user_account,2379,0.2764350453172205,0.42857142857142855
0,repository,3244931,2,8606,mapped_product,1305,0.1516383918196607,0.23509277607638263
0,repository,3244931,2,8606,other_bot,1359,0.157913083894957,0.24482075301747433
0,repository,3244931,2,8606,branch_movement_untyped,508,0.05902858470834302,0.09151504233471447
0,repository,3244931,2,8606,no_action_within_7d,3055,0.3549848942598187,
0,repository,3328572,10,8598,user_account,2377,0.2764596417771575,0.4288291538877864
0,repository,3328572,10,8598,mapped_product,1305,0.1517794836008374,0.2354320764928739
0,repository,3328572,10,8598,other_bot,1354,0.15747848336822518,0.24427205484394732
0,repository,3328572,10,8598,branch_movement_untyped,507,0.058967201674808095,0.0914667147753924
0,repository,3328572,10,8598,no_action_within_7d,3055,0.35531518957897185,
0,repository,3368190,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,3368190,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,3368190,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,3368190,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,3368190,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,3559019,8,8600,user_account,2378,0.27651162790697675,0.42885482416591525
0,repository,3559019,8,8600,mapped_product,1304,0.1516279069767442,0.2351668169522092
0,repository,3559019,8,8600,other_bot,1355,0.15755813953488373,0.24436429215509467
0,repository,3559019,8,8600,branch_movement_untyped,508,0.05906976744186047,0.09161406672678088
0,repository,3559019,8,8600,no_action_within_7d,3055,0.35523255813953486,
0,repository,3618686,14,8594,user_account,2381,0.27705375843611824,0.42916366258111033
0,repository,3618686,14,8594,mapped_product,1305,0.15185012799627648,0.2352198990627253
0,repository,3618686,14,8594,other_bot,1355,0.15766814056318362,0.24423215573179524
0,repository,3618686,14,8594,branch_movement_untyped,507,0.05899464742843845,0.09138428262436914
0,repository,3618686,14,8594,no_action_within_7d,3046,0.3544333255759832,
0,repository,3729629,4,8604,user_account,2380,0.2766155276615528,0.42882882882882883
0,repository,3729629,4,8604,mapped_product,1304,0.1515574151557415,0.23495495495495494
0,repository,3729629,4,8604,other_bot,1359,0.1579497907949791,0.24486486486486486
0,repository,3729629,4,8604,branch_movement_untyped,507,0.05892608089260809,0.09135135135135135
0,repository,3729629,4,8604,no_action_within_7d,3054,0.35495118549511856,
0,repository,3732632,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,3732632,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,3732632,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,3732632,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,3732632,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,3777210,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,3777210,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,3777210,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,3777210,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,3777210,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,3782004,5,8603,user_account,2380,0.2766476810414972,0.4287515762925599
0,repository,3782004,5,8603,mapped_product,1304,0.1515750319655934,0.2349126283552513
0,repository,3782004,5,8603,other_bot,1359,0.1579681506451238,0.24482075301747433
0,repository,3782004,5,8603,branch_movement_untyped,508,0.05904916889457166,0.09151504233471447
0,repository,3782004,5,8603,no_action_within_7d,3052,0.354759967453214,
0,repository,3947396,1,8607,user_account,2381,0.27663529685140004,0.42885446685878964
0,repository,3947396,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,3947396,1,8607,other_bot,1358,0.1577785523411177,0.2445965417867435
0,repository,3947396,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,3947396,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,4053456,1,8607,user_account,2381,0.27663529685140004,0.42885446685878964
0,repository,4053456,1,8607,mapped_product,1304,0.151504589287789,0.23487031700288186
0,repository,4053456,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,4053456,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,4053456,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,4127088,1,8607,user_account,2381,0.27663529685140004,0.42885446685878964
0,repository,4127088,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,4127088,1,8607,other_bot,1358,0.1577785523411177,0.2445965417867435
0,repository,4127088,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,4127088,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,4213474,16,8592,user_account,2378,0.27676908752327745,0.42908697221219777
0,repository,4213474,16,8592,mapped_product,1300,0.15130353817504655,0.23457235654998196
0,repository,4213474,16,8592,other_bot,1356,0.15782122905027932,0.2446770119090581
0,repository,4213474,16,8592,branch_movement_untyped,508,0.059124767225325885,0.09166365932876218
0,repository,4213474,16,8592,no_action_within_7d,3050,0.35498137802607077,
0,repository,4414698,2,8606,user_account,2380,0.2765512433186149,0.42867435158501443
0,repository,4414698,2,8606,mapped_product,1305,0.1516383918196607,0.23505043227665706
0,repository,4414698,2,8606,other_bot,1359,0.157913083894957,0.24477665706051874
0,repository,4414698,2,8606,branch_movement_untyped,508,0.05902858470834302,0.0914985590778098
0,repository,4414698,2,8606,no_action_within_7d,3054,0.3548686962584244,
0,repository,4475999,6,8602,user_account,2375,0.2760985817251802,0.428159365422751
0,repository,4475999,6,8602,mapped_product,1305,0.15170890490583586,0.23526230394808004
0,repository,4475999,6,8602,other_bot,1359,0.15798651476400838,0.2449972958355868
0,repository,4475999,6,8602,branch_movement_untyped,508,0.05905603348058591,0.09158103479358212
0,repository,4475999,6,8602,no_action_within_7d,3055,0.3551499651243897,
0,repository,4505793,4,8604,user_account,2381,0.2767317526731753,0.42877723752926344
0,repository,4505793,4,8604,mapped_product,1305,0.151673640167364,0.23500810372771475
0,repository,4505793,4,8604,other_bot,1359,0.1579497907949791,0.24473257698541329
0,repository,4505793,4,8604,branch_movement_untyped,508,0.05904230590423059,0.0914820817576085
0,repository,4505793,4,8604,no_action_within_7d,3051,0.35460251046025104,
0,repository,4542716,4,8604,user_account,2379,0.2764993026499303,0.42864864864864866
0,repository,4542716,4,8604,mapped_product,1305,0.151673640167364,0.23513513513513515
0,repository,4542716,4,8604,other_bot,1359,0.1579497907949791,0.24486486486486486
0,repository,4542716,4,8604,branch_movement_untyped,507,0.05892608089260809,0.09135135135135135
0,repository,4542716,4,8604,no_action_within_7d,3054,0.35495118549511856,
0,repository,4600110,1,8607,user_account,2381,0.27663529685140004,0.42885446685878964
0,repository,4600110,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,4600110,1,8607,other_bot,1358,0.1577785523411177,0.2445965417867435
0,repository,4600110,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,4600110,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,4647320,1,8607,user_account,2380,0.27651911235041243,0.42867435158501443
0,repository,4647320,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,4647320,1,8607,other_bot,1359,0.15789473684210525,0.24477665706051874
0,repository,4647320,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,4647320,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,4681328,1,8607,user_account,2381,0.27663529685140004,0.42877723752926344
0,repository,4681328,1,8607,mapped_product,1305,0.15162077378877659,0.23500810372771475
0,repository,4681328,1,8607,other_bot,1359,0.15789473684210525,0.24473257698541329
0,repository,4681328,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914820817576085
0,repository,4681328,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,4869294,1,8607,user_account,2381,0.27663529685140004,0.42877723752926344
0,repository,4869294,1,8607,mapped_product,1305,0.15162077378877659,0.23500810372771475
0,repository,4869294,1,8607,other_bot,1359,0.15789473684210525,0.24473257698541329
0,repository,4869294,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914820817576085
0,repository,4869294,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,5179099,1,8607,user_account,2381,0.27663529685140004,0.42877723752926344
0,repository,5179099,1,8607,mapped_product,1305,0.15162077378877659,0.23500810372771475
0,repository,5179099,1,8607,other_bot,1359,0.15789473684210525,0.24473257698541329
0,repository,5179099,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914820817576085
0,repository,5179099,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,5702425,1,8607,user_account,2381,0.27663529685140004,0.42877723752926344
0,repository,5702425,1,8607,mapped_product,1305,0.15162077378877659,0.23500810372771475
0,repository,5702425,1,8607,other_bot,1359,0.15789473684210525,0.24473257698541329
0,repository,5702425,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914820817576085
0,repository,5702425,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,5870069,1,8607,user_account,2381,0.27663529685140004,0.42877723752926344
0,repository,5870069,1,8607,mapped_product,1305,0.15162077378877659,0.23500810372771475
0,repository,5870069,1,8607,other_bot,1359,0.15789473684210525,0.24473257698541329
0,repository,5870069,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914820817576085
0,repository,5870069,1,8607,no_action_within_7d,3054,0.3548274660160335,
0,repository,6323414,1,8607,user_account,2381,0.27663529685140004,0.42885446685878964
0,repository,6323414,1,8607,mapped_product,1305,0.15162077378877659,0.23505043227665706
0,repository,6323414,1,8607,other_bot,1358,0.1577785523411177,0.2445965417867435
0,repository,6323414,1,8607,branch_movement_untyped,508,0.059021726501684676,0.0914985590778098
0,repository,6323414,1,8607,no_action_within_7d,3055,0.35494365051702104,
0,repository,6673802,2,8606,user_account,2380,0.2765512433186149,0.4287515762925599
0,repository,6673802,2,8606,mapped_product,1305,0.1516383918196607,0.23509277607638263
0,repository,6673802,2,8606,other_bot,1359,0.157913083894957,0.24482075301747433
0,repository,6673802,2,8606,branch_movement_untyped,507,0.05891238670694864,0.09133489461358314
0,repository,6673802,2,8606,no_action_within_7d,3055,0.3549848942598187,
0,repository,6860771,2,8606,user_account,2381,0.2766674413200093,0.42885446685878964
0,repository,6860771,2,8606,mapped_product,1305,0.1516383918196607,0.23505043227665706
0,repository,6860771,2,8606,other_bot,1358,0.15779688589356264,0.2445965417867435
0,repository,6860771,2,8606,branch_movement_untyped,508,0.05902858470834302,0.0914985590778098
0,repository,6860771,2,8606,no_action_within_7d,3054,0.3548686962584244,
0,repository,7833168,2,8606,user_account,2380,0.2765512433186149,0.4287515762925599
0,repository,7833168,2,8606,mapped_product,1304,0.15152219381826632,0.2349126283552513
0,repository,7833168,2,8606,other_bot,1359,0.157913083894957,0.24482075301747433
0,repository,7833168,2,8606,branch_movement_untyped,508,0.05902858470834302,0.09151504233471447
