burst_threshold_minutes,exclusion_unit,excluded_group,excluded_group_prs,remaining_prs,first_post_burst_state,remaining_state_prs,share_all_prs,share_post_burst_actions
0,product_pair,Cursor -> Devin,15,8593,branch_movement_untyped,508,0.05911788665192599,0.0916802021295795
0,product_pair,Cursor -> Devin,15,8593,no_action_within_7d,3052,0.3551728150820435,
0,product_pair,Cursor -> OpenAI_Codex,145,8463,user_account,2341,0.27661585726101856,0.4296201137823454
0,product_pair,Cursor -> OpenAI_Codex,145,8463,mapped_product,1267,0.14971050454921422,0.23251972839053037
0,product_pair,Cursor -> OpenAI_Codex,145,8463,other_bot,1333,0.1575091575091575,0.24463204257661955
0,product_pair,Cursor -> OpenAI_Codex,145,8463,branch_movement_untyped,508,0.06002599550986648,0.09322811525050467
0,product_pair,Cursor -> OpenAI_Codex,145,8463,no_action_within_7d,3014,0.35613848517074326,
0,product_pair,Devin -> Claude_Code,85,8523,user_account,2352,0.2759591693065822,0.4281813216821409
0,product_pair,Devin -> Claude_Code,85,8523,mapped_product,1294,0.15182447495013493,0.23557254687784454
0,product_pair,Devin -> Claude_Code,85,8523,other_bot,1339,0.15710430599554148,0.2437647915528855
0,product_pair,Devin -> Claude_Code,85,8523,branch_movement_untyped,508,0.05960342602370058,0.09248133988712907
0,product_pair,Devin -> Claude_Code,85,8523,no_action_within_7d,3030,0.35550862372404085,
0,product_pair,Devin -> Copilot,430,8178,user_account,2113,0.25837613108339447,0.4045567681409152
0,product_pair,Devin -> Copilot,430,8178,mapped_product,1272,0.15553925165077037,0.24353819643882826
0,product_pair,Devin -> Copilot,430,8178,other_bot,1335,0.1632428466617755,0.2556002297530155
0,product_pair,Devin -> Copilot,430,8178,branch_movement_untyped,503,0.06150648080215212,0.09630480566724105
0,product_pair,Devin -> Copilot,430,8178,no_action_within_7d,2955,0.36133528980190754,
0,product_pair,Devin -> Cursor,117,8491,user_account,2365,0.27853020845601223,0.4318057330655468
0,product_pair,Devin -> Cursor,117,8491,mapped_product,1259,0.14827464374043103,0.2298703669892277
0,product_pair,Devin -> Cursor,117,8491,other_bot,1345,0.1584030149570133,0.24557239364615666
0,product_pair,Devin -> Cursor,117,8491,branch_movement_untyped,508,0.059828053232834764,0.09275150629906884
0,product_pair,Devin -> Cursor,117,8491,no_action_within_7d,3014,0.3549640796137086,
0,product_pair,Devin -> OpenAI_Codex,74,8534,user_account,2369,0.277595500351535,0.43174776745033716
0,product_pair,Devin -> OpenAI_Codex,74,8534,mapped_product,1251,0.14659011014764473,0.22799343903772554
0,product_pair,Devin -> OpenAI_Codex,74,8534,other_bot,1359,0.15924537145535506,0.2476763258611263
0,product_pair,Devin -> OpenAI_Codex,74,8534,branch_movement_untyped,508,0.05952659948441528,0.092582467650811
0,product_pair,Devin -> OpenAI_Codex,74,8534,no_action_within_7d,3047,0.3570424185610499,
0,product_pair,Google_Jules -> Claude_Code,16,8592,user_account,2381,0.27711824953445063,0.42939585211902614
0,product_pair,Google_Jules -> Claude_Code,16,8592,mapped_product,1297,0.15095437616387336,0.2339044183949504
0,product_pair,Google_Jules -> Claude_Code,16,8592,other_bot,1359,0.1581703910614525,0.24508566275924257
0,product_pair,Google_Jules -> Claude_Code,16,8592,branch_movement_untyped,508,0.059124767225325885,0.09161406672678088
0,product_pair,Google_Jules -> Claude_Code,16,8592,no_action_within_7d,3047,0.3546322160148976,
0,product_pair,Google_Jules -> Copilot,170,8438,user_account,2316,0.27447262384451293,0.4244868035190616
0,product_pair,Google_Jules -> Copilot,170,8438,mapped_product,1286,0.152405783360986,0.23570381231671556
0,product_pair,Google_Jules -> Copilot,170,8438,other_bot,1354,0.1604645650628111,0.24816715542521994
