burst_threshold_minutes,first_post_burst_state,paired_share_change_from_zero,paired_change_percentage_points,repository_cluster_ci_low,repository_cluster_ci_high,repository_cluster_ci_low_percentage_points,repository_cluster_ci_high_percentage_points,prs,repositories
1,user_account,0.00546003717472119,0.546003717472119,-0.004651667600795167,0.015228901935808014,-0.4651667600795167,1.5228901935808015,8608,1416
1,mapped_product,-0.012430297397769517,-1.2430297397769516,-0.018414839315811823,-0.006982969575375613,-1.8414839315811824,-0.6982969575375613,8608,1416
1,other_bot,-0.02300185873605948,-2.300185873605948,-0.0327422040810513,-0.015131110252681493,-3.2742204081051303,-1.5131110252681494,8608,1416
1,branch_movement_untyped,0.005111524163568773,0.5111524163568774,0.001552403370613224,0.01033193917623316,0.1552403370613224,1.033193917623316,8608,1416
1,no_action_within_7d,0.024860594795539034,2.4860594795539033,0.02016660197733717,0.029866374016401482,2.016660197733717,2.9866374016401482,8608,1416
5,user_account,0.016844795539033456,1.6844795539033457,-0.0031064733600986434,0.04137274016306274,-0.3106473360098643,4.137274016306274,8608,1416
5,mapped_product,-0.04426115241635688,-4.426115241635688,-0.06031221339088359,-0.029928950965331363,-6.03122133908836,-2.9928950965331365,8608,1416
5,other_bot,-0.06947026022304832,-6.947026022304832,-0.09755613561011288,-0.04792044925512104,-9.755613561011288,-4.792044925512104,8608,1416
5,branch_movement_untyped,0.0060408921933085506,0.604089219330855,0.00011442597224265607,0.013496854104905963,0.011442597224265607,1.3496854104905964,8608,1416
5,no_action_within_7d,0.09084572490706319,9.08457249070632,0.07859418713041831,0.10401216538334875,7.859418713041831,10.401216538334875,8608,1416
10,user_account,0.0037174721189591076,0.37174721189591076,-0.01778253540933381,0.027571480873750918,-1.7782535409333808,2.757148087375092,8608,1416
10,mapped_product,-0.05552973977695167,-5.552973977695167,-0.07251043883842873,-0.04035765233356344,-7.251043883842873,-4.0357652333563445,8608,1416
10,other_bot,-0.08712825278810409,-8.712825278810408,-0.11756361030784629,-0.06290369314489096,-11.756361030784628,-6.290369314489095,8608,1416
10,branch_movement_untyped,0.005343866171003717,0.5343866171003717,-0.0009208578437996402,0.013333447030236855,-0.09208578437996401,1.3333447030236856,8608,1416
10,no_action_within_7d,0.13359665427509293,13.359665427509293,0.11853221727523597,0.15031135107347615,11.853221727523596,15.031135107347616,8608,1416
30,user_account,-0.02509293680297398,-2.509293680297398,-0.04879146290175466,-0.0011424263123740819,-4.879146290175465,-0.11424263123740819,8608,1416
30,mapped_product,-0.07574349442379182,-7.574349442379182,-0.09500749156590166,-0.058830732022069884,-9.500749156590166,-5.8830732022069885,8608,1416
30,other_bot,-0.11407992565055762,-11.407992565055762,-0.14836155370382936,-0.08713310462135788,-14.836155370382937,-8.713310462135789,8608,1416
30,branch_movement_untyped,-0.002904275092936803,-0.2904275092936803,-0.010577145215134679,0.005794217952975388,-1.0577145215134678,0.5794217952975388,8608,1416
30,no_action_within_7d,0.21782063197026022,21.782063197026023,0.1963733983667612,0.24043873257267329,19.63733983667612,24.04387325726733,8608,1416
