specification,contrast,threshold_hours,estimate,ci_low,ci_high,p_value,n_prs,exposed_prs,control_prs,repositories,effective_sample_size,exposed_effective_sample_size,control_effective_sample_size,propensity_common_support_low,propensity_common_support_high,interpretation
overlap_weighted_all,exact_edge_vs_nonexact_discussion,48,0.11549727444725211,0.003193296422306549,0.22780125247219768,0.04383194284323799,615,109,506,300,322.33554911463267,103.6888208007602,361.63913820123923,0.03959865737663976,0.7366799782446831,overlap-weighted observational association; not a causal effect
overlap_weighted_empirical_common_support,exact_edge_vs_nonexact_discussion,48,0.12094362977582682,0.008623189145260349,0.2332640704063933,0.03482077462664313,591,109,482,284,319.62325486243435,103.6888208007602,362.2234895154725,0.03959865737663976,0.7366799782446831,overlap-weighted observational association; not a causal effect
overlap_weighted_fixed_0.05_0.95,exact_edge_vs_nonexact_discussion,48,0.12018165307406975,0.007231832695715493,0.23313147345242402,0.03702806382167874,569,108,461,273,316.51783721639185,102.74377601310084,349.6650516980051,0.03959865737663976,0.7366799782446831,overlap-weighted observational association; not a causal effect
