variable,exposed_raw_mean,control_raw_mean,raw_standardized_mean_difference,exposed_overlap_weighted_mean,control_overlap_weighted_mean,overlap_weighted_standardized_mean_difference
log1p_trigger_age_hours,1.1099567757278521,1.0376623335460422,0.04049779260652013,1.1150852934288955,1.1150852934645255,-1.995912848168673e-11
log1p_pre_events,0.9697408531423123,1.0114823331797655,-0.05058294973531953,0.96621053217646,0.9662105322072659,-3.733106651800194e-11
pre_user_events,0.7798165137614679,0.9525691699604744,-0.06850129693088239,0.8048555280737767,0.804855528307686,-9.275164420851853e-11
pre_bot_events,1.963302752293578,2.6719367588932808,-0.11842928436403383,2.0153749801951184,2.015374980205078,-1.6644797630628924e-12
pre_decisive_reviews,0.045871559633027525,0.07114624505928854,-0.06035870536449669,0.03831343073614699,0.0383134307469404,-2.5775835083758228e-11
pre_force_pushes,0.22935779816513763,0.30434782608695654,-0.059695755089496406,0.23959834294445134,0.23959834294057852,3.0829544268863777e-12
