control,draws,seed,null_mean_pp,null_sd_pp,null_quantile_025_pp,null_quantile_975_pp,null_min_pp,null_max_pp,observed_estimate_pp,observed_percentile_in_null,observed_standardised_position,p_value_two_sided,p_value_one_sided_greater,null_centred_near_zero,stratification,replying_prs,anchored_prs,strata_with_anchoring_variation,strata_held_fixed,permutable_prs,permutable_anchored_prs,permutable_anchored_share,support_degenerate,exposed_prs_per_draw,edge_time_pool_size,edge_time_pool_non_missing,mean_exposed_prs_per_draw,min_exposed_prs_per_draw,max_exposed_prs_per_draw
permuted_anchor[repository_month],2000,20260827,16.326622496382967,0.7523471985501284,15.063823331719224,17.645896237589916,14.994338123075343,17.72064778417413,17.34652360493297,83.7,1.355625581534025,0.1634182908545727,0.1634182908545727,False,repository_month,184.0,109.0,9.0,134.0,26.0,14.0,0.12844036697247707,True,109.0,,,,,
permuted_anchor[repository],2000,20260827,15.276221407730551,1.7508900766218765,11.857219686228875,18.59268203440014,9.754147309657627,20.378870443413334,17.34652360493297,88.25,1.1824284258877165,0.11794102948525736,0.11794102948525736,False,repository,184.0,109.0,19.0,102.0,63.0,35.0,0.3211009174311927,True,109.0,,,,,
permuted_anchor[calendar_month],2000,20260827,16.82751523301346,3.39459103855851,10.308904774377481,23.45388301968779,3.0788440592438313,29.186012471532546,17.34652360493297,56.10000000000001,0.15289275380280037,0.43928035982008995,0.43928035982008995,False,calendar_month,184.0,109.0,11.0,1.0,183.0,109.0,1.0,False,109.0,,,,,
permuted_anchor[unstratified],2000,20260827,16.5789631768145,3.560072793147182,9.772780739379725,23.64381220768735,5.468768109861273,27.26351269336042,17.34652360493297,59.25,0.21560245329701214,0.4077961019490255,0.4077961019490255,False,unstratified,184.0,109.0,1.0,0.0,184.0,109.0,1.0,False,109.0,,,,,
time_shifted_edge,2000,20260827,-0.1513164725341716,4.878796281414323,-9.666063099480793,9.948583742865186,-14.816797911658913,18.734511605666743,17.34652360493297,99.95,3.586507627736953,0.0009995002498750624,0.0009995002498750624,True,,,,,,,,,,,1067.0,109.0,109.3885,73.0,142.0
