model,term,estimate,std_error,ci_low,ci_high,p_value,n,repositories
first_mediator_other_vs_author,const,0.6705539358600587,0.033837311477397006,0.6042340240306968,0.7368738476894207,2.1240725815091236e-87,3603,834
first_mediator_other_vs_author,other_user,0.06768003993554506,0.044925498724066835,-0.02037231955112609,0.1557323994222162,0.13194014551884112,3603,834
all_responders_first_position,const,0.6874757283877742,0.0400122251280674,0.6090532081954535,0.7658982485800948,3.644477142757079e-66,4814,834
all_responders_first_position,is_first,0.05001196696308395,0.024206694950065232,0.0025677166762084966,0.0974562172499594,0.0388248318099973,4814,834
all_responders_first_position,is_author,-0.06572023786380626,0.04040616997808914,-0.1449148757740646,0.013474400046452048,0.1038454249895305,4814,834
