omitted_product_pair,first_owner_state,metric,prs,repositories,estimate,full_estimate,change_from_full
Copilot -> Cursor,user_minus_mapped,exact_owner_persistence,2038,588,-0.13311445900197394,-0.13516945045033657,0.002054991448362631
Copilot -> Cursor,user_minus_mapped,layer_persistence,2038,588,0.01543939078841361,0.0072133925071754534,0.008225998281238156
Copilot -> Cursor,user_minus_mapped,cross_layer_handoff,2038,588,-0.021118077360598286,-0.010598819051954145,-0.010519258308644142
Copilot -> Devin,user_account,exact_owner_persistence,1476,491,0.30962059620596205,0.30962059620596205,0.0
Copilot -> Devin,user_account,layer_persistence,1476,491,0.540650406504065,0.540650406504065,0.0
Copilot -> Devin,user_account,cross_layer_handoff,1476,491,0.31910569105691056,0.31910569105691056,0.0
Copilot -> Devin,mapped_product,exact_owner_persistence,638,242,0.44670846394984326,0.4447900466562986,0.0019184172935446386
Copilot -> Devin,mapped_product,layer_persistence,638,242,0.5344827586206896,0.5334370139968896,0.0010457446238000268
Copilot -> Devin,mapped_product,cross_layer_handoff,638,242,0.3275862068965517,0.3297045101088647,-0.0021183032123129886
Copilot -> Devin,user_minus_mapped,exact_owner_persistence,2114,606,-0.1370878677438812,-0.13516945045033657,-0.0019184172935446386
Copilot -> Devin,user_minus_mapped,layer_persistence,2114,606,0.006167647883375427,0.0072133925071754534,-0.0010457446238000268
Copilot -> Devin,user_minus_mapped,cross_layer_handoff,2114,606,-0.008480515839641156,-0.010598819051954145,0.0021183032123129886
Copilot -> OpenAI_Codex,user_account,exact_owner_persistence,1333,447,0.3158289572393098,0.30962059620596205,0.006208361033347765
Copilot -> OpenAI_Codex,user_account,layer_persistence,1333,447,0.5626406601650412,0.540650406504065,0.021990253660976178
Copilot -> OpenAI_Codex,user_account,cross_layer_handoff,1333,447,0.2978244561140285,0.31910569105691056,-0.021281234942882032
Copilot -> OpenAI_Codex,mapped_product,exact_owner_persistence,620,232,0.4532258064516129,0.4447900466562986,0.008435759795314302
Copilot -> OpenAI_Codex,mapped_product,layer_persistence,620,232,0.5419354838709678,0.5334370139968896,0.008498469874078207
Copilot -> OpenAI_Codex,mapped_product,cross_layer_handoff,620,232,0.3193548387096774,0.3297045101088647,-0.010349671399187299
Copilot -> OpenAI_Codex,user_minus_mapped,exact_owner_persistence,1953,561,-0.1373968492123031,-0.13516945045033657,-0.002227398761966537
Copilot -> OpenAI_Codex,user_minus_mapped,layer_persistence,1953,561,0.020705176294073424,0.0072133925071754534,0.01349178378689797
Copilot -> OpenAI_Codex,user_minus_mapped,cross_layer_handoff,1953,561,-0.021530382595648878,-0.010598819051954145,-0.010931563543694733
Cursor -> Claude_Code,user_account,exact_owner_persistence,1459,483,0.31048663468128856,0.30962059620596205,0.0008660384753265138
Cursor -> Claude_Code,user_account,layer_persistence,1459,483,0.542837559972584,0.540650406504065,0.002187153468518943
Cursor -> Claude_Code,user_account,cross_layer_handoff,1459,483,0.3159698423577793,0.31910569105691056,-0.0031358486991312495
Cursor -> Claude_Code,mapped_product,exact_owner_persistence,607,239,0.41680395387149916,0.4447900466562986,-0.027986092784799466
Cursor -> Claude_Code,mapped_product,layer_persistence,607,239,0.5107084019769358,0.5334370139968896,-0.022728612019953798
Cursor -> Claude_Code,mapped_product,cross_layer_handoff,607,239,0.34596375617792424,0.3297045101088647,0.01625924606905954
Cursor -> Claude_Code,user_minus_mapped,exact_owner_persistence,2066,597,-0.10631731919021059,-0.13516945045033657,0.02885213126012598
Cursor -> Claude_Code,user_minus_mapped,layer_persistence,2066,597,0.032129157995648194,0.0072133925071754534,0.02491576548847274
Cursor -> Claude_Code,user_minus_mapped,cross_layer_handoff,2066,597,-0.029993913820144935,-0.010598819051954145,-0.01939509476819079
Cursor -> Copilot,user_account,exact_owner_persistence,1416,468,0.3114406779661017,0.30962059620596205,0.0018200817601396468
