first_owner_state,transition_outcome,prs,start_group_prs,classifiable_prs_excluding_next_ties,share_all_start_prs,share_excluding_next_ties,repository_cluster_ci_low,repository_cluster_ci_high,repositories,median_minutes_first_to_next
user_account,same_user,457,2334,2334,0.1958011996572408,0.1958011996572408,0.1678538310292635,0.22630988456535175,224,0.75
user_account,another_user,341,2334,2334,0.14610111396743788,0.14610111396743788,0.12333441008374527,0.16738429614469996,160,64.3
user_account,mapped_product,471,2334,2334,0.20179948586118251,0.20179948586118251,0.16268620582801244,0.24936944003537295,209,2.3833333333333333
user_account,other_bot,139,2334,2334,0.059554413024850046,0.059554413024850046,0.04221712552593422,0.08082821382725103,79,1.8666666666666667
user_account,branch_movement_untyped,68,2334,2334,0.02913453299057412,0.02913453299057412,0.019461182010973337,0.04078651424524988,43,27.84166666666667
user_account,no_next_action_within_48h,858,2334,2334,0.3676092544987147,0.3676092544987147,0.3156543944625094,0.4193962721161725,356,
user_account,ambiguous_next_owner_tie,0,2334,2334,0.0,,0.0,0.0,0,
mapped_product,same_mapped_product,286,903,903,0.3167220376522702,0.3167220376522702,0.2707641750549652,0.364100532454361,124,12.933333333333334
mapped_product,another_mapped_product,57,903,903,0.06312292358803986,0.06312292358803986,0.04046842970322628,0.08775744703076307,36,8.933333333333334
mapped_product,user_account,212,903,903,0.23477297895902546,0.23477297895902546,0.19907187367976342,0.2756185757866014,136,16.766666666666666
mapped_product,other_bot,55,903,903,0.06090808416389812,0.06090808416389812,0.04271564768825959,0.08180931855500818,41,5.05
mapped_product,branch_movement_untyped,33,903,903,0.036544850498338874,0.036544850498338874,0.022421068013480313,0.05268820155093658,25,37.53333333333333
mapped_product,no_next_action_within_48h,260,903,903,0.28792912513842744,0.28792912513842744,0.24947134607842694,0.32673267326732675,158,
mapped_product,ambiguous_next_owner_tie,0,903,903,0.0,,0.0,0.0,0,
