first_owner_state,metric,prs,repositories,estimate,repository_cluster_ci_low,repository_cluster_ci_high
user_account,exact_owner_persistence,1476,491,0.30962059620596205,0.274852916188777,0.3461862202912741
user_account,layer_persistence,1476,491,0.540650406504065,0.48452883263009844,0.5907537548742036
user_account,cross_layer_handoff,1476,491,0.31910569105691056,0.2661073045951833,0.3769671816489041
mapped_product,exact_owner_persistence,643,244,0.4447900466562986,0.3821532489069802,0.5048350078255162
mapped_product,layer_persistence,643,244,0.5334370139968896,0.47483132809516015,0.5898574800930166
mapped_product,cross_layer_handoff,643,244,0.3297045101088647,0.2823858705384817,0.3832807570977918
