first_owner_state,metric,full_estimate,leave_one_pair_min,leave_one_pair_max,leave_one_pair_max_abs_change,product_pairs
mapped_product,cross_layer_handoff,0.23477297895902546,0.2242562929061785,0.24468085106382978,0.010516686052846974,24
mapped_product,exact_owner_persistence,0.3167220376522702,0.2938443670150987,0.32494279176201374,0.0228776706371715,24
mapped_product,layer_persistence,0.3798449612403101,0.3600464576074332,0.39021164021164023,0.019798503632876885,24
mapped_product,no_next_action,0.28792912513842744,0.2751322751322751,0.29500580720092917,0.012796850006152327,24
user_account,cross_layer_handoff,0.20179948586118251,0.18320258421781263,0.25621414913957935,0.054414663278396835,24
user_account,exact_owner_persistence,0.1958011996572408,0.17922705314009663,0.19886611426079373,0.016574146517144173,24
user_account,layer_persistence,0.34190231362467866,0.32028985507246377,0.34782608695652173,0.021612458552214886,24
user_account,no_next_action,0.3676092544987147,0.3435309114085405,0.38486386709736964,0.024078343090174203,24
user_minus_mapped,cross_layer_handoff,-0.03297349309784295,-0.045434829177106534,0.02340991633534656,0.05638340943318951,24
user_minus_mapped,exact_owner_persistence,-0.1209208379950294,-0.14312588803637394,-0.09774047091120258,0.023180367083826814,24
user_minus_mapped,layer_persistence,-0.03794264761563143,-0.0689879308426154,-0.01718931475029034,0.031045283226983966,24
user_minus_mapped,no_next_action,0.07968012936028723,0.06535985765666746,0.10079920197034886,0.02111907261006163,24
