ownership_route_48h,prs,later_merge_rate,median_first_action_hours,median_first_user_hours,median_first_automation_hours
no_observed_action,659,0.3216995447647951,,,
human_first,467,0.5010706638115632,0.5097222222222222,0.6797222222222222,0.5238888888888888
automation_no_human,314,0.4012738853503185,0.09319444444444444,,0.09888888888888889
automation_then_human,162,0.5493827160493827,0.06125,1.8834722222222222,0.07402777777777778
other_activity,76,0.39473684210526316,0.057777777777777775,,0.05694444444444444
movement_only,55,0.5818181818181818,2.0027777777777778,,0.31416666666666665
